00:00:00 - 00:00:02  |    Fuck.
00:15:33 - 00:15:35  |    og de ligger til faktisk at vinde.
00:15:35 - 00:15:37  |    Og så skriver jeg til vores kulturdirektør,
00:15:37 - 00:15:39  |    vores borgmester.
00:15:39 - 00:15:41  |    Hvis jeg er borgmester i Viborg Kommune,
00:15:41 - 00:15:43  |    så vil jeg ringe til DPU nu og sige,
00:15:43 - 00:15:45  |    at det her landshold, det skal lande i Viborg
00:15:45 - 00:15:47  |    og ikke i København,
00:15:47 - 00:15:49  |    når de kommer hjem med medaljer.
00:15:49 - 00:15:51  |    Så fik jeg en sms, de kommer til Viborg,
00:15:51 - 00:15:53  |    som det første vil du med ud at tage imod dem,
00:15:53 - 00:15:55  |    og det synes jeg virkelig var fedt.
00:15:55 - 00:15:57  |    Men jeg ringede så til Mia Wagner, og jeg var helt ny leder,
00:15:57 - 00:15:59  |    jeg havde været der 3 måneder, og jeg siger,
00:15:59 - 00:16:01  |    Mia, kan jeg tage med ud der, det er på en arbejdsdag,
00:16:01 - 00:16:03  |    og Mia var sådan, ja selvfølgelig,
00:16:03 - 00:16:05  |    Mia kan rigtig mange ting, men hun ved ikke
00:16:05 - 00:16:07  |    rigtig meget om sport.
00:16:07 - 00:16:09  |    Men hun var sådan, ja, det kan du godt, bare det er ikke lige
00:16:09 - 00:16:11  |    tirsdag kl. 10, for der har du dit første ledermøde,
00:16:11 - 00:16:13  |    og det var altså tirsdag kl. 10.
00:16:13 - 00:16:15  |    Så jeg var tudfærdig, jeg vidste godt,
00:16:15 - 00:16:19  |    at jeg kunne ikke springe over de ledermøde, og jeg ville bare gerne med,
00:16:19 - 00:16:21  |    og det var altså en stor oplevelse.
00:16:21 - 00:16:23  |    Så heldigvis havde Mia's sekretær glemt at indkalde til det,
00:16:23 - 00:16:25  |    hun havde ikke fået det gjort endnu, så jeg kunne få lov
00:16:25 - 00:16:27  |    til at aflyse ledermødet, og så tog jeg med ud,
00:16:27 - 00:16:29  |    og så var jeg med ude i busserne, ude i Lufthavnen,
00:16:29 - 00:16:32  |    og hente pigerne, og blev fejret på Rådhus og sådan noget.
00:16:32 - 00:16:35  |    Det var faktisk en ret stor oplevelse i hele min,
00:16:35 - 00:16:39  |    hele den her karriere, jeg havde hos, altså under Viborg Kommune,
00:16:39 - 00:16:41  |    hvor jeg bare svar i 10 år.
00:16:41 - 00:16:45  |    Hvad betød det for dig, at have gjort det?
00:16:47 - 00:16:49  |    Det betød rigtig meget for mig,
00:16:49 - 00:16:51  |    at have været med til at gøre det her fra kvindelandsholdet.
00:16:51 - 00:16:53  |    En ting var ligesom den professionelle del af det.
00:16:53 - 00:16:57  |    Jeg synes, at pigerne, altså kvinderne, der spillede på landsholdet,
00:16:57 - 00:16:59  |    synes, jeg havde rigtig meget brug for den anerkendelse,
00:16:59 - 00:17:01  |    og det fik de også, og det har de stadigvæk.
00:17:01 - 00:17:03  |    Men jeg synes helt klart også, der var noget i det her med,
00:17:03 - 00:17:05  |    at vi flyttede så meget ude i foreningerne,
00:17:05 - 00:17:07  |    at lige pludselig så var der en masse piger,
00:17:07 - 00:17:09  |    der havde lyst til at spille fodbold.
00:17:09 - 00:17:11  |    Min datter, hun spiller fodbold nu på syvende år,
00:17:11 - 00:17:13  |    hvor min mand han er træner.
00:17:13 - 00:17:15  |    Og alle får lige meget spiletid.
00:17:15 - 00:17:17  |    Selvom de er trætte nu, alle får lige meget spiletid.
00:17:17 - 00:17:21  |    Der er ikke nogen, der bliver vurderet bedre eller dårligere end andre.
00:17:21 - 00:17:24  |    Og det er på ingen måde noget, der lukter af elite.
00:17:24 - 00:17:27  |    Til gengæld så har de det super sjovt i omklædningsrummet.
00:17:27 - 00:17:31  |    Jeg har lige sponsoreret sådan en stor soundbox på dem med logo,
00:17:31 - 00:17:33  |    så der er bare fest og glade dage ude i omklædningsrummet.
00:17:33 - 00:17:35  |    De sidder og fletter hinandens hår.
00:17:35 - 00:17:39  |    Og der, hvor hun spiller hele den årgang, som nu er syvende klasse,
00:17:39 - 00:17:41  |    de har det bare super godt alle sammen.
00:17:41 - 00:17:44  |    Der er et virkelig, virkelig godt fællesskab.
00:17:44 - 00:17:47  |    Og det er altså også fordi, de alle sammen spiller fodbold sammen,
00:17:47 - 00:17:49  |    hvor der ikke er nogen, der er bedre og dårligere end andre.
00:17:49 - 00:17:52  |    Så det, jeg synes, jeg egentlig er mest stolt af,
00:17:52 - 00:17:54  |    det jeg egentlig synes, der er skubbet mest,
00:17:54 - 00:17:57  |    det er egentlig det, det gjorde ude i foreningerne og ude i landet,
00:17:57 - 00:18:01  |    at i og med, at kvindefodbold lige pludselig fik en blotstempling,
00:18:01 - 00:18:04  |    og alle havde nogle super seje idoler at spejle sig i.
00:18:04 - 00:18:06  |    Altså, de er jo vanvittige, de der piger.
00:18:06 - 00:18:08  |    Sådan en som Nadia Nadim, hun læser jo lige til læge ved siden af.
00:18:08 - 00:18:10  |    Hun er også en professionel fodboldspiller.
00:18:10 - 00:18:13  |    Men alle de her piger, de fik nogle rollemodeller at spejle sig i,
00:18:13 - 00:18:15  |    det gjorde virkelig en forskel for mig.
00:18:15 - 00:18:19  |    Og det er jo blandt andet også en af de grunde til, at jeg gider at være,
00:18:19 - 00:18:21  |    stille op i Løvens Hule, det er hermed, at vi ved,
00:18:21 - 00:18:25  |    at rollemodeller, de flytter noget, og at det gør en forskel for andre.
00:18:25 - 00:18:28  |    At man ser nogle andre kvinder, der tør.
00:18:28 - 00:18:30  |    Super, super godt.
00:18:30 - 00:18:35  |    Og du nævnte også det her med, at hvis du har rettet overgangen,
00:18:35 - 00:18:38  |    da vi lavede forholdsvis, hvor vi talt det her med,
00:18:38 - 00:18:41  |    at det var også fedt at arbejde med ildsjælet,
00:18:41 - 00:18:45  |    fordi det var også det, vi oplevede i taget med i hver sætter, ikke?
00:18:45 - 00:18:46  |    Ja, det kan jeg sige.
00:18:46 - 00:18:48  |    Hvad gør der en del omkring det?
00:18:48 - 00:18:51  |    Den gang jeg arbejdede under Viborg Kommune,
00:18:51 - 00:18:54  |    der arbejdede jeg jo rigtig meget med foreningshidræt også.
00:18:54 - 00:18:57  |    Og der arbejdede jeg jo med alle de her ildsjæle,
00:18:57 - 00:19:00  |    som er ude i foreningerne.
00:19:00 - 00:19:03  |    Det er virkelig noget af det, der driver mig allermest,
00:19:03 - 00:19:06  |    det er at arbejde med ildsjæle og med andre folk,
00:19:06 - 00:19:08  |    der har en energi for det, de laver.
00:19:08 - 00:19:11  |    Og det er jo også det, jeg gør nu, når jeg arbejder med i hver sætter.
00:19:11 - 00:19:13  |    Jeg elsker at arbejde med i hver sætter.
00:19:13 - 00:19:15  |    Jeg elsker at arbejde med den energi, de har.
00:19:15 - 00:19:19  |    Jeg elsker at arbejde med, at de bare brænder så meget for deres produkter,
00:19:19 - 00:19:22  |    at de bare gerne vil det.
00:19:22 - 00:19:24  |    Det er helt klart det, der driver mig,
00:19:24 - 00:19:27  |    det er også det, der får mig til at stå oppe om morgenen, det er det her med.
00:19:27 - 00:19:29  |    At arbejde sammen med mennesker, gøre en forskel,
00:19:29 - 00:19:34  |    og at vi drives af at gøre noget sammen.
00:19:34 - 00:19:36  |    En eller anden form for impact,
00:19:36 - 00:19:39  |    det kan være med det fra Aida,
00:19:39 - 00:19:43  |    som er sådan et sportswear brand, som vi har investeret i.
00:19:43 - 00:19:46  |    Det der med, at hun står op hver morgen og bare drømmer om
00:19:46 - 00:19:52  |    at lave idrætstøj eller sportswear til kvinder i alle størrelser.
00:19:52 - 00:19:57  |    Om du er stor, lille, høj, lav og har en bred numse,
00:19:57 - 00:20:00  |    så kan du også se godt ud i et par tights,
00:20:00 - 00:20:04  |    og du også kan komme ud og bruge din krop og lave noget sport.
00:20:04 - 00:20:09  |    Eller det her med Club Venus, som laver sexlejtøj,
00:20:09 - 00:20:14  |    som også er en hel del af at sætte kvinders seksualitet fri.
00:20:14 - 00:20:16  |    Det synes jeg bare fedt, og jeg synes bare,
00:20:16 - 00:20:18  |    det er så fedt at arbejde sammen med Ildsjælde,
00:20:18 - 00:20:21  |    som virkelig brænder for det, de laver.
00:20:21 - 00:20:23  |    Rigtig, rigtig godt.
00:20:23 - 00:20:25  |    Tusind tak.
00:20:28 - 00:20:30  |    Jeg har altid lidt mistænkt på det,
00:20:30 - 00:20:32  |    fordi jeg har begyndt at drive til at få ros.
00:20:32 - 00:20:33  |    Det er ros meget selvtillidigt.
00:20:33 - 00:20:34  |    Det er så godt.
00:20:34 - 00:20:35  |    Nu skal I stoppe.
00:20:35 - 00:20:38  |    Jeg har fattet, at det er sådan at køre videre.
00:20:38 - 00:20:40  |    Endnu bedre, endnu bedre.
00:20:40 - 00:20:41  |    Nej, det er super.
00:20:41 - 00:20:46  |    Prøv at fortælle, hvad det er du af at være hos Freeway.
00:20:46 - 00:20:52  |    Du snakkede om det her med, at du finder ud af de gode til at støtte andre
00:20:52 - 00:20:56  |    i deres projekter og få dem til at tjene penge.
00:20:56 - 00:20:59  |    Og måske egentlig bare lige på ord fra hver freeway.
00:20:59 - 00:21:01  |    Ja, det siger jeg da.
00:21:01 - 00:21:03  |    Præcis.
00:21:09 - 00:21:12  |    Jeg skal lige tænke, hvad jeg startede med.
00:21:12 - 00:21:18  |    Efter at jeg havde arbejdet under Viborg Kommune, så fik jeg et job hos Freeway.
00:21:18 - 00:21:21  |    Freeway, det er Mia Wagner, min partner nu.
00:21:21 - 00:21:23  |    Det er hendes families virksomhed.
00:21:23 - 00:21:29  |    Freeway blev startet af Dating DK en gang for 25 år siden.
00:21:29 - 00:21:33  |    Og nu har de, jeg tror, de har 32 virksomheder i deres koncern.
00:21:33 - 00:21:35  |    Så det er simpelthen en stor virksomhed,
00:21:35 - 00:21:38  |    som har en masse små virksomheder under sig,
00:21:38 - 00:21:42  |    som de driver. Nogle har de selv, og nogle er de endelig store i.
00:21:42 - 00:21:47  |    Og der arbejde jeg, og i Freeway, der lærte jeg rigtig, rigtig meget.
00:21:47 - 00:21:50  |    Jeg lærte rigtig meget af det, jeg kan nu.
00:21:50 - 00:21:53  |    Det var ligesom også i Freeway, jeg fandt ud af,
00:21:53 - 00:21:59  |    at den her energi, jeg selv har, det er hermed at...
00:21:59 - 00:22:02  |    Det kan nogle gange være svært for mig selv at beskrive,
00:22:02 - 00:22:05  |    hvad det er for en energi, men den her energi, der gør,
00:22:05 - 00:22:10  |    at jeg kan næsten flytte vildt som helst projekt,
00:22:10 - 00:22:14  |    den lærte jeg også at få lidt styr på i Freeway.
00:22:14 - 00:22:18  |    Indtil da, så kunne jeg godt nogle gange føle mig som en elefant i et glasboer.
00:22:18 - 00:22:21  |    Jeg kunne huske, at jeg på et tidspunkt var projektleder på et løb,
00:22:21 - 00:22:24  |    og jeg blev bare ved med at udvikle og udvikle og udvikle på det her løb,
00:22:24 - 00:22:27  |    og det var ligesom min energi, der bar det hele.
00:22:27 - 00:22:30  |    Og på et tidspunkt, så kunne jeg godt se, at det var faktisk ikke
00:22:30 - 00:22:33  |    for projektets skyld mere, at det skulle udvikles.
00:22:33 - 00:22:35  |    Det var min egen skyld.
00:22:35 - 00:22:38  |    Jeg kunne også nogle gange have det sådan, hvis jeg sad i møder,
00:22:38 - 00:22:41  |    hvor man kom til at tale for højt,
00:22:41 - 00:22:43  |    og man ligesom kom til at have alt for meget energi
00:22:43 - 00:22:46  |    og fylde alt for meget.
00:22:46 - 00:22:48  |    Det kunne godt nogle gange være svært for mig.
00:22:48 - 00:22:50  |    Så kom det, kan det stadigvæk være.
00:22:50 - 00:22:56  |    Men så kom jeg til Freeway, hvor jeg lærte egentlig at få sat den her energi,
00:22:56 - 00:22:58  |    sat den i de rigtige rammer og ligesom finde ud af,
00:22:58 - 00:23:03  |    hvordan jeg kunne bruge den, og også finde ud af, at det ligesom havde noget værdi.
00:23:03 - 00:23:07  |    Det var især min nuværende partner, Mia Wagner,
00:23:07 - 00:23:12  |    der ligesom hjalp mig med at få tøjlet hele det her energinåde
00:23:12 - 00:23:15  |    og sætte det i de rigtige rammer,
00:23:15 - 00:23:18  |    og så bare lade mig køre med tingene,
00:23:18 - 00:23:21  |    sådan at jeg ligesom kunne rykke noget fremad.
00:23:21 - 00:23:24  |    Og det lærte jeg her, og jeg lærte også det der med,
00:23:24 - 00:23:26  |    at jeg var god til at arbejde med i værksættere.
00:23:26 - 00:23:30  |    Jeg er god til at hjælpe med at bygge de rigtige rammer rundt om mine værksætter,
00:23:30 - 00:23:33  |    så de kan få lov til at brænde for det, de er gode til.
00:23:33 - 00:23:35  |    Jeg brænder rigtig meget for at lave forretning.
00:23:35 - 00:23:38  |    Jeg er god til at sætte struktur og proces på tingene.
00:23:38 - 00:23:42  |    Jeg er god til at få de rigtige rammer, de rigtige forudsætninger.
00:23:42 - 00:23:44  |    Jeg er god til at kigge på marketing.
00:23:44 - 00:23:48  |    Jeg er god til at se, hvornår vi skal tage det næste step i en virksomhed.
00:23:48 - 00:23:51  |    Men i værksætterne er jeg typisk rigtig, rigtig god til det,
00:23:51 - 00:23:54  |    som de er blevet i værksætter på.
00:23:54 - 00:23:56  |    Det kunne for eksempel være for freeway-tiden,
00:23:56 - 00:23:58  |    hvor jeg arbejdede sammen med en, der hedder Louise,
00:23:58 - 00:24:00  |    som havde noget, der hed sales styling.
00:24:00 - 00:24:02  |    Hun er vildt god til at ændret boliger,
00:24:02 - 00:24:05  |    og hun er god til at have sådan et store overblik på,
00:24:05 - 00:24:08  |    og hun er verdens bedste sælger i hele verden.
00:24:08 - 00:24:10  |    Jeg kender ikke nogen, der er bedre sælger end hende.
00:24:10 - 00:24:13  |    Men det der med at bygge forretningen rundt om,
00:24:13 - 00:24:16  |    der havde hun nok brug for noget hjælp til at sætte nogle strukturer,
00:24:16 - 00:24:19  |    nogle processer på tingene, og det lyder jo super kedeligt,
00:24:19 - 00:24:21  |    men det er faktisk noget af det, som jeg synes er allersjovest,
00:24:21 - 00:24:23  |    og noget af det, jeg er allerbedst til.
00:24:23 - 00:24:26  |    Det der med, at jeg hjalp Louise på det tidspunkt,
00:24:26 - 00:24:28  |    og hun bare blev spillet fri til det, hun var god til,
00:24:28 - 00:24:31  |    og så hjalp jeg hende med at sætte tingene i nogle strukturer,
00:24:31 - 00:24:33  |    nogle processer, og så kunne jeg ligesom forlade det igen,
00:24:33 - 00:24:36  |    og nu har hun bare en fed forretning, og det er selvfølgelig hendes skyld,
00:24:36 - 00:24:40  |    men det er det der med, at jeg er god til at sætte de strukturer og processer.
00:24:40 - 00:24:42  |    Det er ligesom der, min energi ligger.
00:24:42 - 00:24:45  |    Og det lærte jeg klart hos freeway,
00:24:45 - 00:24:49  |    og jeg lærte også, at det havde værdi, at det ikke fyldte for meget,
00:24:49 - 00:24:54  |    at jeg ikke var for meget, men at jeg godt måtte gøre de ting,
00:24:54 - 00:24:58  |    som jeg var god til, og at jeg også bare måtte drønde derudad,
00:24:58 - 00:25:02  |    når det var sat i det rigtige rammer.
00:25:02 - 00:25:06  |    Det er rigtig rigtig godt.
00:25:06 - 00:25:08  |    Skal jeg spørge mig noget?
00:25:08 - 00:25:10  |    Det der med at tøjle energi og sådan noget,
00:25:10 - 00:25:18  |    hvad var det praktisk, der ligesom skete der ved freeway?
00:25:18 - 00:25:23  |    Det kan jeg godt sige noget om.
00:25:23 - 00:25:26  |    Da jeg kom til freeway, der havde jeg den her kæmpe store energi,
00:25:26 - 00:25:29  |    men jeg kunne ikke rigtig finde ud af at sætte den i spil,
00:25:29 - 00:25:32  |    og jeg kunne heller ikke rigtig nogen gange se altid, om den var noget værd.
00:25:32 - 00:25:38  |    Men da jeg møder Mia, som jo er min partner nu,
00:25:38 - 00:25:40  |    der var det ligesom, at hun kunne ligesom se noget.
00:25:40 - 00:25:43  |    Hun kunne ligesom se, at jeg havde noget, og jeg havde noget energi.
00:25:43 - 00:25:46  |    Og Mia var rigtig god til at lade mig køre med nogle projekter,
00:25:46 - 00:25:50  |    og ligesom sige, tro på mig, og ligesom sige, det her er dit space,
00:25:50 - 00:25:52  |    og nu får du bare lov til at køre med det,
00:25:52 - 00:25:55  |    og så bruge alt din energi på det.
00:25:55 - 00:25:59  |    Og ligesom også være god til at hjælpe med sådan at få fjernet de barriere,
00:25:59 - 00:26:02  |    der så var på vejen, så jeg ligesom kunne få plads til
00:26:02 - 00:26:06  |    at bruge den her energi på projekterne.
00:26:06 - 00:26:10  |    Jeg er vildt god til at eksekvere.
00:26:10 - 00:26:15  |    Altså, hvis man kommer og siger til mig, at vi skal lave en virksomhed i morgen,
00:26:15 - 00:26:19  |    og hvis vi skal gøre det og det, så er jeg sindssygt god til bare at gøre det.
00:26:19 - 00:26:24  |    Hvor mange andre kan se nogle udfordringer osv.
00:26:24 - 00:26:30  |    Jeg er en god projektleder, som ligger i det med at være god til at eksekvere.
00:26:30 - 00:26:37  |    Og i det her eksekveringsmåde, det er jo også der, min energi skal ligge.
00:26:37 - 00:26:42  |    Så der er ikke sådan nogle forhændringer, der hele tiden sætter sig ind.
00:26:42 - 00:26:44  |    Det kan jeg ikke, det når jeg ikke. Hvad nu, hvis vi gør det?
00:26:44 - 00:26:48  |    Jeg er ikke særlig detaljeorienteret, så når jeg skal eksekvere på noget,
00:26:48 - 00:26:50  |    så glemmer jeg typisk en masse små detaljer.
00:26:50 - 00:26:54  |    Men det er egentlig lige meget, for dem føler jeg op under vejs
00:26:54 - 00:26:56  |    og sørger for, at det ligesom bliver gjort.
00:26:56 - 00:26:58  |    Og det var virkelig noget af det, Mia kunne se,
00:26:58 - 00:27:03  |    og også noget af det, som hun formodede, ligesom at sætte rigtigt i spil.
00:27:03 - 00:27:14  |    Bliver du for floppy? Nej, du har vækket dig lige først.
00:27:14 - 00:27:16  |    Du er sikker på, at det ikke er meget simp? Det er det også.
00:27:16 - 00:27:18  |    Jeg tror også, det er det også.
00:27:18 - 00:27:22  |    Du skal tage den af, eller?
00:27:22 - 00:27:27  |    Tror du ikke bare, du skal tage...
00:27:27 - 00:27:29  |    Det er døren, der er glas, der spejler til.
00:27:29 - 00:27:34  |    Jeg tror, vi skal tage...
00:27:34 - 00:27:36  |    Jeg tror, vi skal tage... Hvad hedder det?
00:27:36 - 00:27:38  |    Skal de ned længere her?
00:27:38 - 00:27:41  |    Så de kommer lidt tilbage, du har lige taget.
00:27:41 - 00:27:48  |    Eller om de kommer lidt...
00:27:48 - 00:28:15  |    Så er det sådan, at han står her.
00:28:15 - 00:28:19  |    Jeg føler lige, at Alakritsen ud af tænderne, når de har sådan en dårlig tand.
00:28:19 - 00:28:21  |    Sådan en dårlig tand, sådan en sort tand.
00:28:21 - 00:28:26  |    Måske er Alakritsen heller ikke den gode intervju?
00:28:26 - 00:28:30  |    Så nederen har sådan en lignende, der har en rødentand.
00:28:30 - 00:28:32  |    Jeg manglede faktisk en tand.
00:28:32 - 00:28:34  |    Jeg har faktisk engang fået en tand herude.
00:28:34 - 00:28:36  |    En løvens ulæk, som jeg ikke holdt ud til.
00:28:36 - 00:28:38  |    Jeg skyndte mig for den lad.
00:28:38 - 00:28:41  |    Sådan en gang lad den ligge her.
00:28:41 - 00:28:46  |    Man kunne se den en gang, men det så mere ud, som den var sort.
00:28:46 - 00:28:48  |    Du var så rigtig sure.
00:28:48 - 00:28:50  |    Det er mange år siden.
00:28:50 - 00:28:52  |    Jeg fik den bare gået ud, og så var der en satsandelegen bagefter.
00:28:52 - 00:28:54  |    Hun sagde, at det kostede 8.000 kr.
00:28:54 - 00:28:56  |    Jeg kan bare huske, at jeg sad lige med den lille baby.
00:28:56 - 00:28:57  |    Jeg havde ingen penge og sådan noget.
00:28:57 - 00:28:59  |    Det kostede 8.000 kr.
00:28:59 - 00:29:01  |    Ellers så tager vi den ned.
00:29:01 - 00:29:02  |    Så tog hun ud, og så var jeg sådan...
00:29:02 - 00:29:04  |    Hvad skal der så ske nu?
00:29:04 - 00:29:05  |    Ja, nu har du så ikke nogen tand.
00:29:05 - 00:29:06  |    Har I nogen tand?
00:29:06 - 00:29:12  |    Du ved, jeg havde slet ikke regnet ud, at jeg havde tænkt, at hun ville bruge noget.
00:29:12 - 00:29:18  |    Jeg havde slet ikke taget den her kobling af, at jeg ikke havde noget.
00:29:18 - 00:29:20  |    Nej, det var måske også vigtigt.
00:29:20 - 00:29:23  |    Det var måske lidt arm i hjørnet.
00:29:23 - 00:29:25  |    Vi kører igennem her.
00:29:25 - 00:29:29  |    Prøver Annik Ludvig at overflyve, hvor mange virksomheder,
00:29:29 - 00:29:33  |    har du en bestyrelsespost eller en henpakkelse?
00:29:33 - 00:29:35  |    Jo.
00:29:35 - 00:29:38  |    Kan du nævne dem med navn også?
00:29:38 - 00:29:41  |    Vil du gerne have at nævne dem med alt så meget?
00:29:41 - 00:29:44  |    Hvis der er sygt mange hernede, eller hvad?
00:29:44 - 00:29:46  |    Altså, hvis du kan.
00:29:46 - 00:29:48  |    Der er sygt mange.
00:29:48 - 00:29:49  |    Jeg kan godt gøre det.
00:29:49 - 00:29:50  |    Kan du huske dem?
00:29:50 - 00:29:51  |    Ja, ja.
00:29:51 - 00:29:52  |    Kan du?
00:29:52 - 00:29:53  |    Ja, men det må der meget, ja.
00:29:53 - 00:29:55  |    Altså, du behøver ikke komme med et langt beklaring af,
00:29:55 - 00:29:58  |    om vi skal blive ligesom de spødlere eller et eller andet.
00:29:58 - 00:29:59  |    Det er jo mange gange.
00:29:59 - 00:30:02  |    Det er meget bedre.
00:30:02 - 00:30:07  |    På nuværende tidspunkt, der har jeg andel i 13 virksomheder,
00:30:07 - 00:30:09  |    og så har jeg selv...
00:30:09 - 00:30:11  |    Kan jeg også sige sygt noget?
00:30:11 - 00:30:13  |    Det er fordi, der er 13, og så har vi jo vores egen tilskaber.
00:30:13 - 00:30:15  |    Jeg siger bare 13.
00:30:15 - 00:30:16  |    Nej, 14.
00:30:16 - 00:30:18  |    Okay, jeg er klar.
00:30:18 - 00:30:23  |    På nuværende tidspunkt, der har jeg andel i 14 virksomheder,
00:30:23 - 00:30:26  |    og det er i alle mulige forskellige brækter.
00:30:26 - 00:30:30  |    Jeg har blandt andet Club Venus, som er seks lejtøj.
00:30:30 - 00:30:32  |    Så har jeg Kong Valder, som er babyudstyr.
00:30:32 - 00:30:34  |    Little Savage.
00:30:34 - 00:30:36  |    Hustle One babyudstyr.
00:30:36 - 00:30:38  |    Så har vi Aida Sportswear.
00:30:38 - 00:30:41  |    Så har vi Female Invest, som er hele den her aktieskole,
00:30:41 - 00:30:44  |    der laver aktieskole til kvinder.
00:30:44 - 00:30:47  |    Så har vi The Sonic.
00:30:47 - 00:30:49  |    Så Min Kreative Verden.
00:30:49 - 00:30:51  |    Nordic Female Founders, selvfølgelig.
00:30:51 - 00:30:55  |    Take Charge.
00:30:55 - 00:30:58  |    The Clay Play.
00:30:58 - 00:31:02  |    Mille og Lykke.
00:31:02 - 00:31:04  |    Hvor mange er der?
00:31:04 - 00:31:06  |    Det mangler helt sikkert en.
00:31:06 - 00:31:08  |    Jeg har dem ikke med tårn.
00:31:08 - 00:31:10  |    Ej, det er også dårligt.
00:31:10 - 00:31:12  |    Nej, jeg mangler en.
00:31:12 - 00:31:14  |    Det er da pilligt.
00:31:14 - 00:31:16  |    Og Lucille, kære.
00:31:16 - 00:31:18  |    Skal jeg sige dem igen?
00:31:18 - 00:31:20  |    Ja, måske sige dem den sidste igen.
00:31:20 - 00:31:23  |    Og Lucille, kære.
00:31:23 - 00:31:29  |    Nu dykker vi jo ned i Mille og Lykke der på fredag.
00:31:29 - 00:31:35  |    Kan du ikke bare lige give en kort præsentation af Mille og Lykke,
00:31:35 - 00:31:37  |    så vi også har det i marts?
00:31:41 - 00:31:44  |    Jeg har investeret i Mille og Lykke.
00:31:44 - 00:31:48  |    Mille og Lykke kom i Løvens Hule her i min første sæson.
00:31:48 - 00:31:50  |    Og var de her to skønne damer,
00:31:50 - 00:31:52  |    som har lavet deres egen smykkevirksomhed.
00:31:52 - 00:31:54  |    De sælger simpelthen smykker.
00:31:54 - 00:31:56  |    Jeg havde mødt Mille og Lykke før,
00:31:56 - 00:31:58  |    og det havde jeg i forbindelse med,
00:31:58 - 00:32:01  |    at de havde bare kommet til mig og spurgt, om de kunne få noget hjælp.
00:32:01 - 00:32:04  |    De havde haft nogle dårlige oplevelser med nogle banker.
00:32:04 - 00:32:06  |    Så derfor havde jeg mødt dem en lille smule før,
00:32:06 - 00:32:09  |    og da de så kom ind i Løvens Hule, der blev jeg...
00:32:12 - 00:32:14  |    Ved I, det gør vi op til?
00:32:17 - 00:32:19  |    Skal vi sætte den bare her?
00:32:19 - 00:32:21  |    Ja, nu går den det med.
00:32:21 - 00:32:23  |    Jeg er helt meget diskret.
00:32:23 - 00:32:25  |    Ja, jeg tager den igen.
00:32:25 - 00:32:27  |    Du kan godt sige, hvad du vil.
00:32:27 - 00:32:29  |    Okay.
00:32:29 - 00:32:32  |    Jeg har investeret i Mille og Lykke,
00:32:32 - 00:32:35  |    som er to skønne damer fra Silkeborg.
00:32:35 - 00:32:39  |    De har en platform eller en online shop,
00:32:39 - 00:32:41  |    hvor de sælger smykker.
00:32:41 - 00:32:45  |    Mille og Lykke er super fantastiske at arbejde sammen med.
00:32:45 - 00:32:50  |    Og en af de ting, som jeg er specielt stolt af ved Mille og Lykke,
00:32:50 - 00:32:55  |    det er, at normalt vil jeg ikke investere i en markedsplatform.
00:32:55 - 00:32:57  |    Det vil sige en butik på nettet,
00:32:57 - 00:32:59  |    som sælger andre folks produkter.
00:32:59 - 00:33:04  |    Det vil jeg ikke, fordi man tjener så få penge på hver enkelt vare,
00:33:04 - 00:33:07  |    så man skal have en kæmpestor volume,
00:33:07 - 00:33:10  |    for at det begynder at blive en god forretning.
00:33:10 - 00:33:12  |    Så normalt vil jeg ikke investere i det.
00:33:12 - 00:33:14  |    Men det, vi har gjort ved Mille og Lykke,
00:33:14 - 00:33:17  |    som jeg får lov til at tage en lille smule af æren af,
00:33:17 - 00:33:19  |    det er, at vi har lavet deres eget smykker,
00:33:19 - 00:33:21  |    så de har fået deres eget brand.
00:33:21 - 00:33:23  |    Så nu er det faktisk sådan, at efter jeg er gået ind,
00:33:23 - 00:33:26  |    så ligger 30% af deres omsætning på nogle varer,
00:33:26 - 00:33:28  |    som de selv laver.
00:33:28 - 00:33:33  |    Det vil sige, at lige pludselig tjener vi faktisk meget mere på de enkelte varer,
00:33:33 - 00:33:36  |    end vi gør, når vi selv har andres produkter.
00:33:36 - 00:33:40  |    Sådan nogle forretninger kan jeg være stolt af, at jeg selv ser.
00:33:40 - 00:33:44  |    Jeg er stolt af, at jeg så, at man på smykker godt kan gøre det.
00:33:44 - 00:33:48  |    Det er ikke på alle produkter, at man vil kunne gå ind
00:33:48 - 00:33:51  |    og lave sit eget private label-produkt.
00:33:51 - 00:33:53  |    Jeg tror for eksempel, hvis det var jeans,
00:33:53 - 00:33:55  |    så tror jeg aldrig, vi kunne have gjort det.
00:33:55 - 00:33:58  |    Vi kunne ikke selv have gået ind og løftet det på at lave nogle fede jeans,
00:33:58 - 00:34:03  |    som folk gider gå i, fordi der er nogle kæmpestore spillere på markedet,
00:34:03 - 00:34:05  |    på det her jeans-marked.
00:34:05 - 00:34:09  |    Men på smykker, tror jeg det var, troede jeg.
00:34:09 - 00:34:12  |    Måske kunne jeg se en mulighed for, at det rent faktisk var anderledes.
00:34:12 - 00:34:14  |    Og det har vi lykkes med.
00:34:14 - 00:34:20  |    Det er sådan nogle iværksættere og en case, som jeg er superstolt af dem.
00:34:20 - 00:34:23  |    Og jeg er også en smule stolt over mig selv, over at jeg kunne se det,
00:34:23 - 00:34:26  |    og også over at jeg kunne være med til at lave deres egne produkter,
