00:00:00 - 00:00:01  |    Meet Jasi.
00:38:15 - 00:38:31  |    I have a little note, because when you're listening to Marcin translating, it's nice if you look at these people and talk to these people instead of Marcin.
00:38:31 - 00:38:47  |    Because we edited Marcin's outfit.
00:38:47 - 00:39:01  |    Sorry. Just a moment. I'm a little worried about what we're going to do next.
00:39:01 - 00:39:17  |    I'm a little worried about what we're going to do next.
00:39:17 - 00:39:37  |    It's good. Everything is very good.
00:39:37 - 00:40:03  |    We talked to Nils about the meeting you had in parliament, and he told us about some myth or a story that maybe you once were a special diver in Polish military, and you went to Bornholm and found a stone on Hamasów that you brought back to Poland. Is that right?
00:40:03 - 00:40:27  |    Yes. They talked to Nils on the phone, but Nils heard about some myth or a story that Polish divers went to Bornholm and found a stone there. Do you know anything about it?
00:40:27 - 00:40:41  |    No, I don't know anything. For me, it's new information.
00:40:41 - 00:40:53  |    I could have forgotten about it, but I don't remember it.
00:40:53 - 00:41:07  |    We also talked to Heliator Møller.
00:41:07 - 00:41:23  |    He told us when you were at the parliament that Heliator Møller was really interested in your very good English skills.
00:41:23 - 00:41:43  |    Heliator Møller, the Minister of Defense.
00:41:43 - 00:42:03  |    That's true. I was just an interpreter.
00:42:03 - 00:42:13  |    Were you in the military?
00:42:13 - 00:42:23  |    I was never in the military. I studied, so if you go to the university, you don't have to go to the military.
00:42:23 - 00:42:43  |    I think it could be interesting to ask you. We're doing this program to give a historical look at the present, but part of what we're doing is all the secrets that have happened between the two nations of Poland.
00:42:43 - 00:42:53  |    What do you think about that?
00:43:13 - 00:43:25  |    People who do not want to talk about that part of history. Is that something you can relate to? Have you experienced the same?
00:43:25 - 00:43:43  |    The whole program shows how the world has changed since the 70s and 80s after the end of the Warsaw Pact and the relations between Poland and Denmark.
00:43:43 - 00:44:03  |    Have you experienced the same? Have you experienced the same? Have you experienced the same?
00:44:03 - 00:44:17  |    It was only due to the lack of information between the European countries and Poland. We were not allowed to travel to Denmark or Germany. We didn't have passports.
00:44:17 - 00:44:33  |    In order to go to work or anywhere in the West, you had to have a passport. You had to write in a post and very often there was a refusal due to social differences.
00:44:33 - 00:44:47  |    There were no newspapers that reached Poland and the West. They were treated as a taboo. There was no information. On the other hand, it was an abnormal world.
00:44:47 - 00:45:07  |    It was a mystery, but it was not due to the lack of information. What is the basis?
00:45:07 - 00:45:18  |    Before 1989, even to leave for the West, it was very difficult. We didn't have passports at home. The passports were at the police station. You had to apply for the passport.
00:45:18 - 00:45:27  |    You had to provide the reason of leaving the country. It was difficult. We were isolated and there was no information flow.
00:45:27 - 00:45:38  |    If there is no information flow, there is not even secrecy, but this feeling of secrecy. You don't know something, so you find it secret.
00:45:38 - 00:45:59  |    Although you don't have a background in the military, have you ever heard about rumors that special forces from the Warsaw Pact should be on Bornholm during the Cold War and maybe do training on the island?
00:45:59 - 00:46:09  |    The chairman of the National Defense Commission in Denmark told me that the Warsaw Pact had the Polish Armed Forces,
00:46:09 - 00:46:30  |    which was the idea of defense. So the Polish army had a significant role in the defense of Denmark.
00:46:30 - 00:46:43  |    That was the idea of defense. So the Polish army had to be in Denmark. That was the information of the chairman of the National Defense Commission in Denmark.
00:46:43 - 00:47:01  |    I looked at him and they didn't believe me. Maybe it was true.
00:47:13 - 00:47:34  |    So he knew about the situation in Poland, but with a smile on his face.
00:47:43 - 00:48:08  |    What I remembered, I will tell you.
00:48:08 - 00:48:13  |    Thank you for your attention.
