00:00:00 - 00:00:02  |    Shit, vi har forholdt os til det lige siden, every fucking time.
00:36:38 - 00:36:45  |    så når man går ind i det kreative rum, så er det der du er. Ud over det, så er der også bare noget logisk i,
00:36:45 - 00:36:53  |    at det der er op på scenen, det er jo det, der er vigtigt lige op til. Så det er den rigtige måde at dele op på.
00:36:53 - 00:37:00  |    Har du mærkt forskning på din rutine i forhold til at lave show nu, og i forhold til dit første one-man-show?
00:37:00 - 00:37:05  |    Ja, der har jeg også lidt svar på rigtigt med de der pølser der.
00:37:10 - 00:37:17  |    Og vi snakker også lidt om det her, men du sagde ligesom, at det ikke sker at følge med i nogen, der laver et stand-up-show,
00:37:17 - 00:37:23  |    fordi det foregår meget inden i koden. Kan du prøve at forklare det?
00:37:32 - 00:37:37  |    Det er bare fordi, jeg bliver forvidet over, om det er forhånd til, eller om vi har svar på det her en gang, eller om vi godt skal tage...
00:37:37 - 00:37:39  |    Du har svar på, at det er forhånd til det.
00:37:39 - 00:37:43  |    Jeg tror, det var en samtale. Det var også der, hvor du nævnte, at Jerry Seinfeld, som forklarede, hvad det er.
00:37:43 - 00:37:48  |    Åh ja. Det var fordi, jeg synes, vi havde det inde på kontoret også.
00:37:48 - 00:37:50  |    Det har vi også. Det mener, det var sikkert.
00:37:50 - 00:37:56  |    Det er fint nok. Det er godt. Det er godt. Det var ligeså, hvor vigtigt deres var. Helt genialt på det.
00:37:56 - 00:38:14  |    Når jeg siger, at jeg bliver hyst, og ikke gider at snakke med nogen, så er det også fordi, at det er en meget introvær proces,
00:38:14 - 00:38:29  |    det at skrive One Man Show. Det er noget, der primært foregår op i hovedet. Det er svært at forklare. Det er så meget hoveder op i egen røv.
00:38:29 - 00:38:40  |    Det er så navlepilleri på den måde, at det bare... Og ensomt også. Det er bare dig og dine tanker.
00:38:40 - 00:38:46  |    Og det skal så herfra og så ned på et papir, og så skal det repeteres, og så skal det videre derfra,
00:38:46 - 00:38:56  |    ud igennem munden og så ud til publikum. Det er en meget svær at se det ud fra røvkedelig proces.
00:38:56 - 00:39:00  |    Jeg ved ikke, om det var svært.
00:39:00 - 00:39:04  |    Jeg har ikke været de vigtigste.
00:39:04 - 00:39:06  |    Nå, det var godt.
00:39:06 - 00:39:12  |    Skal vi lige have den? Var det det, du ville se? Det der med, at vi ligesom ikke har lået nogen ind,
00:39:12 - 00:39:16  |    nu var vi jo der den dag, at der ligesom ikke har været viden til den der proces før.
00:39:16 - 00:39:19  |    Vi har den også, men vi vil jo ikke have den her.
00:39:19 - 00:39:24  |    Nå, kan du sidde bare igennem i din støveproces og skrive One Man Show?
00:39:24 - 00:39:33  |    Når jeg er i den kreative skriveproces og udviklingsproces, så er det noget, der bare er mig.
00:39:33 - 00:39:38  |    Der lukker jeg ikke andre ind, forstået på den måde, at jeg godt kan sidde og spare med nogen,
00:39:38 - 00:39:42  |    men det er så fordi, jeg deler mine tanker med nogle kollegaer og sådan noget,
00:39:42 - 00:39:53  |    men jeg har ikke engang prøvet at have en praktikant med, og det var helt akavet.
00:39:53 - 00:40:01  |    Det er virkelig synd for ham og synd for mig, fordi man sidder ned med et stykke papir eller en computer,
00:40:01 - 00:40:07  |    og så er man bare at tænke af tanker, og det at have et fremme menneske til at sidde overfor,
00:40:07 - 00:40:10  |    så er der bare at sidde og kigge på én, mens man prøver at tænke nogle tanker,
00:40:10 - 00:40:14  |    det er virkelig ikke frugtbart for den kreative proces.
00:40:14 - 00:40:19  |    Så jeg lukker aldrig nogen ind i den del af arbejdsfasen.
00:40:19 - 00:40:29  |    Så tiser jeg lige.
00:40:49 - 00:40:59  |    Så er der bare at sidde og kigge på én, mens man prøver at sidde overfor,
00:40:59 - 00:41:09  |    og der er bare at sidde og kigge på én, mens man prøver at sidde overfor,
00:41:09 - 00:41:19  |    og der er bare at sidde og kigge på én, mens man prøver at sidde overfor,
00:41:19 - 00:41:29  |    og der er bare at sidde og kigge på én, mens man prøver at sidde overfor,
00:41:29 - 00:41:39  |    og der er bare at sidde og kigge på én, mens man prøver at sidde overfor,
00:41:39 - 00:41:49  |    og der er bare at sidde og kigge på én, mens man prøver at sidde overfor,
00:41:49 - 00:41:59  |    og der er bare at sidde overfor,
00:41:59 - 00:42:09  |    og der er bare at sidde og kigge på én, mens man prøver at sidde overfor,
00:42:09 - 00:42:19  |    og der er bare at sidde overfor,
00:42:19 - 00:42:29  |    og der er bare at sidde overfor,
00:42:29 - 00:42:39  |    og der er bare at sidde overfor,
00:42:59 - 00:43:09  |    og der er bare at sidde overfor,
00:43:09 - 00:43:19  |    og der er bare at sidde overfor,
00:43:19 - 00:43:29  |    og der er bare at sidde overfor
00:43:29 - 00:43:39  |    og der er bare at sidde overfor,
00:43:39 - 00:43:49  |    og der er bare at sidde overfor,
00:43:49 - 00:43:59  |    og der er bare at sidde overfor,
00:43:59 - 00:44:09  |    og der er bare at sidde overfor
00:44:09 - 00:44:19  |    og der er bare at sidde overfor,
00:44:19 - 00:44:29  |    og der er bare at sidde overfor,
00:44:29 - 00:44:39  |    og der er bare at sidde overfor,
00:44:39 - 00:44:49  |    og der er bare at sidde overfor
00:45:09 - 00:45:15  |    Hvad fanden med nogen mandskole er det lige?
00:45:15 - 00:45:19  |    Yes, det er fint.
00:45:19 - 00:45:23  |    Vi føler os meget ligegybige med den der.
00:45:23 - 00:45:33  |    Har vi...
00:45:33 - 00:45:39  |    Vi har nok sådan en start-slutter-ting.
00:45:39 - 00:45:49  |    Vi skal skifte kort, så vi skal køre mere.
00:45:49 - 00:45:57  |    Der er flere uske.
00:45:57 - 00:46:13  |    Så er der i Vivek fællesskabforskning.
00:47:43 - 00:47:47  |    som han styrter, men ikke i det forhåbentlige.
00:47:47 - 00:47:49  |    Det er jo fordi, at han har en ny samarbejde.
00:47:49 - 00:47:52  |    Ja, og derfor er det råd, at vi kan finde på ham.
00:47:52 - 00:47:57  |    Ja, og jeg ved også, hvem det er, fordi han har en ny samarbejde.
00:47:57 - 00:47:58  |    Ja, det kan vi jo få.
00:47:58 - 00:47:59  |    Hvem har det?
00:47:59 - 00:48:00  |    Han.
00:48:00 - 00:48:01  |    Ja, men det kan vi også.
00:48:01 - 00:48:03  |    Hvis han er der også, så er det godt.
00:48:03 - 00:48:06  |    Ja, det er en rartig ny samarbejde.
00:48:06 - 00:48:09  |    Ja, jeg tror, at jeg har inviteret en ny mand og en hjertelig.
00:48:09 - 00:48:10  |    Ja, det går sagt.
00:48:10 - 00:48:13  |    Vil du få vejkort i?
00:48:13 - 00:48:15  |    Nej, jeg tror, at vi... Er vi ikke glade her?
00:48:15 - 00:48:16  |    Jo.
00:48:16 - 00:48:18  |    Jo, okay.
00:48:18 - 00:48:21  |    Og har vi sådan lige en handset, og er der noget i den op?
00:48:21 - 00:48:23  |    Vi har jo en gange handsetter, der er hernede.
00:48:23 - 00:48:27  |    Altså, vi kan godt bare de sidste fire minutter, bare lige lave sådan noget.
00:48:27 - 00:48:29  |    Ja, så må jeg bare lige...
00:48:29 - 00:48:30  |    Er du godt suge til det?
00:48:30 - 00:48:32  |    Nej, jeg synes faktisk, at vi skal køre det.
00:48:32 - 00:48:33  |    Ja, vi skal køre det.
00:48:33 - 00:48:35  |    Hvis det er godt, så vil det gå om en halv time.
00:48:35 - 00:48:37  |    Hvad siger du? Er du godt holdet?
00:48:37 - 00:48:40  |    Ja, altså, vi sidder et evne, måske.
00:48:40 - 00:48:42  |    Ja, det er meget evnet.
00:48:42 - 00:48:43  |    Vi står og har det på.
00:48:43 - 00:48:44  |    Ja.
00:48:44 - 00:48:46  |    Vi står og har det på.
00:48:46 - 00:48:48  |    Ja, nej, tak.
00:48:54 - 00:48:56  |    Men, øh, vi går da til en ting, ikke vi?
00:48:56 - 00:49:00  |    Vi skal bare lige komme gået hernede deroppe og sætte dig ind i stolen.
00:49:00 - 00:49:02  |    Jeg ved sgu ikke, hvad det er.
00:49:02 - 00:49:04  |    Ja.
00:49:04 - 00:49:09  |    Skal vi se, skal vi ikke bare lige køre på de sidste fire minutter her?
00:49:09 - 00:49:11  |    Jo, køb den bare lige heroppe.
00:49:11 - 00:49:13  |    Vi har lidt klap fra det.
00:49:14 - 00:49:16  |    Det er noget mega sejt.
00:49:16 - 00:49:18  |    Den her, den her.
00:49:18 - 00:49:20  |    Jeg glemte at stille den op.
00:49:20 - 00:49:22  |    Nå, kom ind nu.
00:49:22 - 00:49:24  |    Nå, det ved jeg ikke.
00:49:24 - 00:49:27  |    Så kommer der lige sådan en god, tung ting der.
00:49:27 - 00:49:29  |    Kommer du ikke bare helt op fra?
00:49:29 - 00:49:30  |    Jo.
00:49:30 - 00:49:32  |    Og så sætter jeg dig i stolen.
00:49:32 - 00:49:34  |    Og så kigger jeg i kassen.
00:49:34 - 00:49:35  |    Ja.
00:49:35 - 00:49:38  |    Og så laver jeg lige, jeg laver lige klap hos os.
00:49:38 - 00:49:40  |    Det behøver faktisk, at det ikke er rigtig vildt.
00:49:40 - 00:49:42  |    Nej, det var bare fordi, at det var lidt.
00:49:42 - 00:49:44  |    Nej.
00:49:47 - 00:49:49  |    Jeg følger ham med det her.
00:49:50 - 00:49:52  |    Hvor? Jeg er nede til min...
00:49:52 - 00:49:54  |    Nej.
00:49:54 - 00:49:56  |    Så er det der.
00:50:02 - 00:50:04  |    Nej, det er fint nok derfra.
00:50:07 - 00:50:09  |    Torsækkel.
00:50:09 - 00:50:11  |    Den er helt skævlende.
00:50:13 - 00:50:15  |    Kører du på de andre?
00:50:15 - 00:50:16  |    Ja.
00:50:16 - 00:50:18  |    Okay, så har vi ikke noget tid.
00:50:18 - 00:50:24  |    Ikke selv da.
00:50:24 - 00:50:26  |    Åh.
00:50:27 - 00:50:29  |    Værsgo til dig, Mik.
00:50:29 - 00:50:31  |    Så er det.
00:50:47 - 00:50:49  |    Så er det.
