00:00:00 - 00:00:02  |    Vi skal kigge igennem.
00:18:12 - 00:18:14  |    Jeg vendede mig hurtigst til det,
00:18:14 - 00:18:16  |    i forhold til at komme hjem,
00:18:16 - 00:18:18  |    og så gik jeg hjem med de der krykker der,
00:18:18 - 00:18:20  |    og så vendede jeg mig hurtigst til at ligge med
00:18:20 - 00:18:22  |    at være væk på det, når jeg gik med krykkerne.
00:18:22 - 00:18:24  |    Det var nok meget, da det kom.
00:18:24 - 00:18:26  |    Jeg gik ikke så meget, hvis nogen bardaerne,
00:18:26 - 00:18:28  |    men jeg gik mere op med de der krykker,
00:18:28 - 00:18:30  |    og ødede det lidt for mig selv, tror jeg.
00:18:32 - 00:18:34  |    Var det ikke rart at komme op og gå igen
00:18:34 - 00:18:36  |    så lang tid?
00:18:36 - 00:18:38  |    Jo, det var det. Jeg følte, der var mere frihed over det.
00:18:38 - 00:18:40  |    Man kunne meget mere.
00:18:44 - 00:18:46  |    Kan du sige hele tiden, at det var rart
00:18:46 - 00:18:48  |    at komme op og gå igen?
00:18:48 - 00:18:50  |    Det var virkelig rart at komme op og gå igen,
00:18:50 - 00:18:52  |    fordi det gav en meget mere frihed.
00:18:52 - 00:18:54  |    Jeg var i sommer.
00:18:54 - 00:18:56  |    Hvornår var det så?
00:18:56 - 00:18:58  |    Det er faktisk ikke et hus, jeg var på færdige
00:18:58 - 00:19:00  |    på et tidspunkt, hvor jeg så havde stativ på.
00:19:00 - 00:19:02  |    Bare det, jeg har mulighed for,
00:19:02 - 00:19:04  |    at kunne tage på færdien og have stativ på,
00:19:04 - 00:19:06  |    det var bare mega fedt.
00:19:06 - 00:19:08  |    Vi var jo lidt bekymrede for,
00:19:08 - 00:19:10  |    om jeg kunne være inde i flyssædet,
00:19:10 - 00:19:12  |    og det kunne jeg snilt være.
00:19:12 - 00:19:14  |    Det var stadig min far,
00:19:14 - 00:19:16  |    der havde problemet med at være der.
00:19:16 - 00:19:18  |    Vi havde regnet med, at det var mig,
00:19:18 - 00:19:20  |    der havde problemet, fordi jeg havde en kæmpe stativ på.
00:19:20 - 00:19:24  |    Så jeg følte, at det gav en virkelig meget frihed,
00:19:24 - 00:19:26  |    at kunne gå igen,
00:19:26 - 00:19:28  |    og ikke pøve at tænke så meget over,
00:19:28 - 00:19:30  |    alt muligt andet.
00:19:32 - 00:19:34  |    Der var sådan et billede, jeg fik af dig.
00:19:34 - 00:19:36  |    Er det din søster, der ligger nede på ryggen,
00:19:36 - 00:19:38  |    hvor du ligger i kørestolen?
00:19:38 - 00:19:40  |    Prøv at beskrive, hvad er det, vi ser på det billede.
00:19:40 - 00:19:42  |    Det tror jeg bare var en helt normal rune,
00:19:42 - 00:19:44  |    hvor jeg havde det første stativ på.
00:19:44 - 00:19:46  |    Jeg ved ikke, hvad vi lavede.
00:19:48 - 00:19:50  |    Jeg tror, det er fordi min far tog kørestolen
00:19:50 - 00:19:52  |    og lavede den ned lidt sjovt,
00:19:52 - 00:19:54  |    fordi jeg kunne ikke godt gøre så meget ved det.
00:19:54 - 00:19:56  |    Så tror jeg, han har gjort det der,
00:19:56 - 00:19:58  |    og lavede mit søster ved siden af mig.
00:19:58 - 00:20:00  |    Så synes min far bare,
00:20:00 - 00:20:02  |    at han skulle have et billede af det,
00:20:02 - 00:20:14  |    fordi det var da et sjovt lille mænde.
00:20:18 - 00:20:20  |    Men i den periode, hvor stativet kommer af,
00:20:20 - 00:20:22  |    og du starter gættertræning,
00:20:22 - 00:20:24  |    jeg tænker også med muskeltræning igen,
00:20:24 - 00:20:26  |    hvordan føles det med benet,
00:20:26 - 00:20:28  |    at det bliver stærkere og stærkere?
00:20:28 - 00:20:32  |    Hvordan føles den periode?
00:20:32 - 00:20:36  |    Den føles meget okay.
00:20:36 - 00:20:38  |    Det er ligesom,
00:20:38 - 00:20:42  |    da jeg stoppede med at have stativer på,
00:20:42 - 00:20:46  |    og jeg begyndte at genoptræne.
00:20:46 - 00:20:52  |    Da jeg først fik det tid væk,
00:20:52 - 00:20:54  |    så var det derovre en virkelig følelse,
00:20:54 - 00:20:58  |    nu var alting normalt igen.
00:20:58 - 00:21:02  |    Hvor jeg efter skole skulle ned til genoptræning,
00:21:02 - 00:21:04  |    sammen med en masse ældre mennesker,
00:21:04 - 00:21:06  |    der var meget hyggeligt,
00:21:06 - 00:21:08  |    men jeg blev også meget hurtigt færdig.
00:21:08 - 00:21:10  |    Det var sådan noget, hvor jeg fik nogle forskellige øvelser,
00:21:10 - 00:21:14  |    og når jeg havde lavet dem, så kunne jeg smutte.
00:21:14 - 00:21:18  |    I starten tog det meget længere tid end det gør,
00:21:18 - 00:21:20  |    så til at der sidst var jeg der i 10 minutter,
00:21:20 - 00:21:22  |    så var jeg færdig med alle de der øvelser,
00:21:22 - 00:21:24  |    fordi mit ben var blevet stærkt nok til,
00:21:24 - 00:21:26  |    og så gør jeg alle de der ting.
00:21:26 - 00:21:29  |    Så det føles meget fedt,
00:21:29 - 00:21:31  |    men det er også nok bare det, man har,
00:21:31 - 00:21:33  |    når man gerne vil blive hurtigt færdig.
00:21:33 - 00:21:36  |    Så jo hurtigere du er færdig, jo mere fedt, synes jeg, det var.
00:21:36 - 00:21:38  |    Så det var meget fedt at kunne mærke,
00:21:38 - 00:21:42  |    at det blev bedre og bedre.
00:21:42 - 00:21:44  |    Så går du ned i tid,
00:21:44 - 00:21:48  |    og så skal I jo i retten i Roskilde i november.
00:21:48 - 00:21:51  |    Ulløbenskab i januar, og så skal I i retten i november.
00:21:51 - 00:21:53  |    Prøv at fortæl, hvad kan du huske fra dagen der,
00:21:53 - 00:21:56  |    fra morgenen, når det skedte sig?
00:21:56 - 00:21:59  |    Jeg kan huske, at jeg...
00:21:59 - 00:22:02  |    Kan du fortælle, at vi skal i retten første gang?
00:22:02 - 00:22:04  |    Da vi skal i retten første gang, kan jeg huske,
00:22:04 - 00:22:06  |    at jeg kommer kørende med...
00:22:06 - 00:22:08  |    Jeg tror, jeg kom kørende hjem fra mit far.
00:22:08 - 00:22:10  |    Jeg tror ikke, min mor ville med i bilen.
00:22:10 - 00:22:13  |    Jeg tror, vi mødtes derinde, hvor vi kommer derind,
00:22:13 - 00:22:16  |    og jeg synes, det er sådan et stort sted.
00:22:16 - 00:22:18  |    Jeg kan huske, jeg synes, det var meget stort.
00:22:18 - 00:22:22  |    Det var også en nybygning rundt om retten,
00:22:22 - 00:22:25  |    der er blevet bygget nu.
00:22:25 - 00:22:27  |    Men det var der.
00:22:27 - 00:22:29  |    Jeg kommer sådan derind, og jeg synes,
00:22:29 - 00:22:31  |    at alting er meget nyt og meget stort.
00:22:31 - 00:22:33  |    Vi bliver vist op til den der rette sag,
00:22:33 - 00:22:36  |    hvor jeg glæder mig til at komme ind,
00:22:36 - 00:22:38  |    og jeg håber på, at damen vil være der,
00:22:38 - 00:22:42  |    og møde hende der, eller se hende der.
00:22:42 - 00:22:44  |    Indtil vi får at vide, at hun ikke er dukket op,
00:22:44 - 00:22:49  |    og jeg tænker sådan, nej, nederen.
00:22:49 - 00:22:51  |    Så kan jeg huske, at min advokat står ude
00:22:51 - 00:22:54  |    og fortæller mig lidt om, hvad det kommer til at foregå,
00:22:54 - 00:22:57  |    og hvor jeg så går hen, og at jeg kun skal huske,
00:22:57 - 00:22:58  |    at jeg må sige det, jeg selv kan huske,
00:22:58 - 00:23:00  |    og ikke det, jeg har fået at vide.
00:23:00 - 00:23:04  |    Det kan man også hurtigt komme til at blande lidt sammen.
00:23:04 - 00:23:08  |    Så kommer jeg derind, og jeg får sagt det, jeg kan huske,
00:23:08 - 00:23:12  |    hvilket dengang også var rigtig let.
00:23:12 - 00:23:15  |    Og så bagefter, så går jeg ned på tilskudpladsen,
00:23:15 - 00:23:18  |    og jeg sidder lidt, og så når det er slut,
00:23:18 - 00:23:23  |    så kommer der en hel masse journalister hen,
00:23:23 - 00:23:27  |    og vi spørger mig og min mor om alle mulige ting,
00:23:27 - 00:23:29  |    og så er der en, der vil have et billede af,
00:23:29 - 00:23:31  |    at vi står og kigger ud af vinduet,
00:23:31 - 00:23:33  |    og sådan nogle forskellige ting.
00:23:33 - 00:23:36  |    Og så tager han det bare hjem.
00:23:36 - 00:23:37  |    Snakkede I med journalisterne?
00:23:37 - 00:23:40  |    Ja, lidt. Ja, det gjorde vi.
00:23:40 - 00:23:44  |    Det var ikke meget offensivt noget.
00:23:44 - 00:23:47  |    Jeg ved ikke, hvor meget jeg sagde på det tidspunkt.
00:23:47 - 00:23:50  |    Det var nok mest min mor, der snakkede.
00:23:50 - 00:23:53  |    Hvorfor ville du gerne møde hende?
00:23:53 - 00:23:58  |    Jeg tror gerne, jeg ville sætte en person på det.
00:23:58 - 00:24:01  |    Jeg ville godt se hende i virkeligheden,
00:24:01 - 00:24:07  |    og se den form for person, der bare kan finde på at smutte.
00:24:07 - 00:24:11  |    Jeg tror det om, jeg havde virkelig brug for i den periode,
00:24:11 - 00:24:14  |    at se hende og møde hende.
00:24:14 - 00:24:17  |    Ikke fordi jeg ville blive sur på hende, eller noget som helst.
00:24:17 - 00:24:19  |    Jeg ville bare godt se hende.
00:24:19 - 00:24:21  |    Jeg havde det faktisk okay med hende.
00:24:21 - 00:24:22  |    Det var ikke fordi, jeg tænkte sådan det.
00:24:22 - 00:24:24  |    Ej, jeg havde lyst til. Det havde jeg ikke.
00:24:24 - 00:24:27  |    Jeg ville bare godt møde hende og se hende.
00:24:27 - 00:24:32  |    Hvorfor tror du gerne ville det?
00:24:32 - 00:24:36  |    Jeg ved virkelig ikke, hvorfor jeg ville se hende.
00:24:36 - 00:24:38  |    Jeg ved det virkelig ikke.
00:24:38 - 00:24:44  |    Jeg tror bare på at sætte et ansigt på det.
00:24:44 - 00:24:46  |    Jeg ved det faktisk ikke.
00:24:46 - 00:24:48  |    Det er fordi, du ikke kan forstå det, hun gjorde?
00:24:48 - 00:24:51  |    Ja, jeg tror ikke, jeg kunne forstå det.
00:24:51 - 00:24:56  |    Hendes handling omkring det.
00:24:56 - 00:24:59  |    Jeg føler ikke, hun er så voksen i hvert fald.
00:24:59 - 00:25:02  |    I forhold til det, hun gjorde.
00:25:02 - 00:25:05  |    Du må have gjort det nogle forestillinger om, hvem hun er.
00:25:05 - 00:25:07  |    Ja, det gjorde jeg også rigtig meget.
00:25:07 - 00:25:09  |    Hvorfor siger du det?
00:25:09 - 00:25:13  |    Jeg gjorde mig rigtig mange forestillinger omkring, hvem hun var,
00:25:13 - 00:25:16  |    hvordan hun så ud og sådan nogle forskellige ting.
00:25:16 - 00:25:19  |    Også fordi jeg hørte det der med, at hun havde et lille dyr med.
00:25:19 - 00:25:21  |    Så tænkte jeg også lidt over, om det var en hund eller en kat
00:25:21 - 00:25:24  |    eller en bærden, der var hun havde med.
00:25:24 - 00:25:26  |    Hvordan jeg kunne høre til min far, hvor han siger,
00:25:26 - 00:25:28  |    at han havde fundet hende på Facebook.
00:25:28 - 00:25:30  |    Fordi vi havde fået hendes hunde navn,
00:25:30 - 00:25:33  |    så vi kunne snilt finde hende på Facebook.
00:25:33 - 00:25:35  |    Og det gjorde jeg så.
00:25:35 - 00:25:37  |    Så kunne jeg se hende, og jeg kunne se, at hun havde en hund
00:25:37 - 00:25:39  |    og hun havde et barn.
00:25:39 - 00:25:41  |    Og sådan nogle ting, som fik mig til at tænke,
00:25:41 - 00:25:46  |    at det er endnu mere mærkeligt, at hun så gør sådan nogle ting.
00:25:46 - 00:25:49  |    Lige pludselig kunne jeg jo se rigtig meget omkring hende.
00:25:49 - 00:25:51  |    Hvor jeg også syntes, at det var lidt vildt,
00:25:51 - 00:25:53  |    om der var nogle ting, jeg ikke havde brug for at vide,
00:25:53 - 00:25:55  |    hvor hun var fra.
00:25:55 - 00:25:57  |    Det var også lidt nær mig og sådan nogle ting,
00:25:57 - 00:25:59  |    som også var lidt nøjere end måske,
00:25:59 - 00:26:03  |    jeg ikke behøvede at vide.
00:26:03 - 00:26:05  |    Men følte du, at du så hende så på Facebook,
00:26:05 - 00:26:07  |    og det gav dig nogle af svarene,
00:26:07 - 00:26:09  |    eller var du stadigvæk et spørgsmålsteg,
00:26:09 - 00:26:11  |    over det, hun havde gjort?
00:26:11 - 00:26:13  |    Jeg følte, at det hjalp.
00:26:13 - 00:26:15  |    Så fik jeg set hende, og ved jeg, hvad hun så ud,
00:26:15 - 00:26:17  |    det syntes jeg, at det gjorde rigtig meget af det.
00:26:17 - 00:26:19  |    Og jeg vidste, at hun havde en hund,
00:26:19 - 00:26:22  |    og et barn, og en mand, og sådan noget.
00:26:22 - 00:26:24  |    Men jeg ville stadig gerne se hende i virkeligheden.
00:26:24 - 00:26:26  |    Men det var nok bare en ny skar,
00:26:26 - 00:26:28  |    jeg hedder ikke, om jeg ville se hende i virkeligheden.
00:26:28 - 00:26:30  |    Så nu vidste jeg godt, hvad hun så ud.
00:26:30 - 00:26:32  |    Men jeg ville stadig lidt nøjere end at tænke på,
00:26:32 - 00:26:34  |    at jeg kan sagtens have set hende,
00:26:34 - 00:26:36  |    og mødt hende siden hen, eller før det,
00:26:36 - 00:26:38  |    uden jeg har lagt mærke til det.
00:26:38 - 00:26:40  |    Det har jeg løbet lidt.
00:26:40 - 00:26:42  |    Hvorfor kunne du det?
00:26:42 - 00:26:44  |    Fordi hun er jo også en helt normal menneske,
00:26:44 - 00:26:46  |    hun har jo også en normal hverdag,
00:26:46 - 00:26:48  |    og hendes normale hverdag var ret tæt på der,
00:26:48 - 00:26:50  |    hvor jeg bor.
00:26:50 - 00:26:52  |    Og det var jo der, jeg rigtig ofte var,
00:26:52 - 00:26:54  |    hvis hun gjorde skue eller noget andet.
00:26:54 - 00:26:56  |    Så det der med, at jeg sagtens kunne risikere at møde hende
00:26:56 - 00:26:59  |    i de steder, sådan i et center eller sådan noget.
00:26:59 - 00:27:02  |    Fordi det er, at det er chancen stor for,
00:27:02 - 00:27:04  |    når vi bor så tæt på hinanden og sådan noget.
00:27:06 - 00:27:08  |    Jeg ved altså ikke, om jeg må sige,
00:27:08 - 00:27:10  |    hvor hun er fra, eller hvad det er.
00:27:10 - 00:27:12  |    Nej, det bør du ikke sige, det gør ikke noget.
00:27:16 - 00:27:18  |    Nå, men det her med, hun så heller ikke møder op
00:27:18 - 00:27:20  |    i retssalen der.
00:27:20 - 00:27:22  |    Hvad tænker du om det?
00:27:22 - 00:27:24  |    Hvis det er meget umuligt, nej.
00:27:24 - 00:27:26  |    Jeg synes, det er meget umuligt,
00:27:26 - 00:27:28  |    at hun ikke vælger at møde op
00:27:28 - 00:27:30  |    i retssalen i forhold til,
00:27:30 - 00:27:32  |    at jeg tænker, at man bliver nødt til
00:27:32 - 00:27:34  |    lidt at stå ved det.
00:27:34 - 00:27:36  |    Så det kan være, at hun har gjort noget super dumt,
00:27:36 - 00:27:38  |    det hun så har smuttet bagefter.
00:27:38 - 00:27:40  |    Og det er så også hendes jobbede bil,
00:27:40 - 00:27:42  |    men så indrøm det i stedet for bare
00:27:42 - 00:27:44  |    at prøve at sådan komme udenom,
00:27:44 - 00:27:46  |    især når de har fundet hende.
00:27:46 - 00:27:48  |    Så sådan der, så kan hun alligevel ikke
00:27:48 - 00:27:50  |    slippe helt fra det.
00:27:50 - 00:27:52  |    Så kan hun ligeså godt bare slet i øjnene
00:27:52 - 00:27:54  |    være ærlige overfor sig selv.
00:27:54 - 00:27:56  |    Det var måske lige lidt dumt, det hun gjorde der.
00:27:56 - 00:27:58  |    Og så lærer jeg det i stedet for bare
00:27:58 - 00:28:00  |    at blive væk.
00:28:00 - 00:28:02  |    Og så er der dagen efter dagen igen.
00:28:02 - 00:28:04  |    Lidt der over to dage det der.
00:28:04 - 00:28:06  |    Hvad sker der på anden dagen?
00:28:06 - 00:28:08  |    Jeg ved det faktisk ikke helt.
00:28:08 - 00:28:10  |    Jeg var ikke med inden anden dagen.
00:28:10 - 00:28:12  |    Så kan du ikke svare på det.
00:28:12 - 00:28:14  |    Men hun får sådan et dom.
00:28:14 - 00:28:16  |    Og hun får, jeg tror, det er mellem
00:28:16 - 00:28:18  |    20 dage og et par tusinde i bøde.
00:28:18 - 00:28:20  |    Og fra Kensa Køregård
00:28:20 - 00:28:22  |    i et halvt år.
00:28:22 - 00:28:24  |    Hvad tænker du om den dom?
00:28:24 - 00:28:26  |    Jeg synes, den dom hun fik var meget lav.
00:28:26 - 00:28:28  |    Jeg synes ikke helt, den var sådan...
00:28:28 - 00:28:30  |    Jeg synes ikke, den var nok på en eller anden måde.
00:28:30 - 00:28:32  |    Fordi...
00:28:32 - 00:28:34  |    Jeg føler ikke, hun lærer noget
00:28:34 - 00:28:36  |    af den dom, hun har fået.
00:28:36 - 00:28:38  |    Jeg føler, den er meget mild og meget sådan.
00:28:38 - 00:28:40  |    Så gør vi lige det her, og så
00:28:40 - 00:28:42  |    er det glemt, rigtigt.
00:28:42 - 00:28:44  |    Hvor jeg føler, hun godt kunne fået
00:28:44 - 00:28:46  |    lidt mere, eller...
00:28:46 - 00:28:48  |    Jeg ved ikke.
00:28:48 - 00:28:50  |    Jeg føler ikke, det var nok i hvert fald.
00:28:50 - 00:28:52  |    I forhold til hvad jeg tænker omkring det.
00:28:52 - 00:28:54  |    Tror du, hvis hun fik en hård straf,
00:28:54 - 00:28:56  |    så kunne det være med til at forbygge, hun kunne gøre det igen?
00:28:56 - 00:28:58  |    Hvad vil en hård straf hjælpe, tror du?
00:28:58 - 00:29:00  |    Jeg ved ikke helt, hvad en hård straf
00:29:00 - 00:29:02  |    kunne gøre for det, faktisk.
00:29:02 - 00:29:04  |    Fordi jeg tænker ikke,
00:29:04 - 00:29:06  |    det er noget, hun bare lige købede at gøre igen.
00:29:06 - 00:29:08  |    At ramme mig ind, for det var nok
00:29:08 - 00:29:10  |    ikke helt meningen på hendes side af,
00:29:10 - 00:29:12  |    at hun skulle ramme mig.
00:29:12 - 00:29:14  |    Men det får jeg måske bare til at tænke,
00:29:14 - 00:29:16  |    så med, at jo hårdere den bliver,
00:29:16 - 00:29:18  |    så tænker hun nok med,
00:29:18 - 00:29:20  |    at det er måske virkelig dumt.
00:29:20 - 00:29:22  |    Hun kommer til at fortryde det mere,
00:29:22 - 00:29:24  |    jo hårdere den bliver.
00:29:24 - 00:29:26  |    For hun synes, det er ubehageligt, at hun har ramt en person.
00:29:26 - 00:29:28  |    Men hun har jo ikke synes, det er ubehageligt nok,
00:29:28 - 00:29:30  |    til hun ikke bare har smudret.
00:29:30 - 00:29:32  |    Så jeg føler ikke,
00:29:32 - 00:29:34  |    hun synes, det var forfærdeligt nok
00:29:34 - 00:29:36  |    i forhold til hvad der egentlig skete.
00:29:36 - 00:29:38  |    Men det er jo så anket, den milde dom der,
00:29:38 - 00:29:40  |    og anklageren tror,
00:29:40 - 00:29:42  |    altså de synes, den er for milde også.
00:29:42 - 00:29:44  |    Så anklageren anker jo den der dom.
00:29:44 - 00:29:46  |    Og det får I jo også at vide.
00:29:46 - 00:29:48  |    Har I et håb om,
00:29:48 - 00:29:50  |    at hun får en hårdere straf i land 13 så?
00:29:50 - 00:29:52  |    Ja, i hvert fald lidt bedre.
00:29:52 - 00:29:54  |    Kan du prøve at sige noget til dem?
00:29:54 - 00:29:56  |    Vi har en forhåbning om,
00:29:56 - 00:29:58  |    at hun får en lidt hårdere straf i land 13 så.
00:29:58 - 00:30:00  |    Ja, i hvert fald lidt bedre.
00:30:00 - 00:30:02  |    Kan du prøve at sige noget?
00:30:02 - 00:30:04  |    Vi har en forhåbning om,
00:30:04 - 00:30:06  |    at hun får en lidt bedre straf
00:30:06 - 00:30:08  |    i land 13 i forhold til,
00:30:08 - 00:30:10  |    at den var meget mild
00:30:10 - 00:30:12  |    og ikke særlig hård.
00:30:12 - 00:30:14  |    Jeg føler ikke,
00:30:14 - 00:30:16  |    man fik så meget ud af det,
00:30:16 - 00:30:18  |    de gav hende.
00:30:18 - 00:30:20  |    Så jeg tror,
00:30:20 - 00:30:22  |    at vi håbede,
00:30:22 - 00:30:24  |    at hun fik en lidt hårdere straf.
00:30:24 - 00:30:26  |    Eller lidt,
00:30:26 - 00:30:28  |    jeg ved det ikke helt.
00:30:28 - 00:30:30  |    Jeg er lidt slemmer,
00:30:30 - 00:30:32  |    end det, hun har fået.
00:30:32 - 00:30:34  |    Jeg føler,
00:30:34 - 00:30:36  |    det var lidt for lidt.
00:30:36 - 00:30:38  |    Kan jeg se?
00:30:38 - 00:30:40  |    Du har sådan en...
00:30:40 - 00:30:42  |    Sådan.
00:30:42 - 00:30:44  |    Godt set.
00:30:46 - 00:30:48  |    Så går det også noget tid,
00:30:48 - 00:30:50  |    for det så i november,
00:30:50 - 00:30:52  |    og næste sommerferie,
00:30:52 - 00:30:54  |    så starter det på en efterskole på Fyn.
00:30:54 - 00:30:56  |    Hvad er det for en efterskole,
00:30:56 - 00:30:58  |    du skal over på?
00:30:58 - 00:31:00  |    I 8. klasse
00:31:00 - 00:31:02  |    startede jeg på en efterskole på Fyn,
00:31:02 - 00:31:04  |    som hedder...
00:31:04 - 00:31:06  |    Kan folk til at sige halvandet år efter ulykken?
00:31:06 - 00:31:08  |    Halvandet år efter ulykken
00:31:08 - 00:31:10  |    startede jeg på en efterskole på Fyn,
00:31:10 - 00:31:12  |    som var en oplind efterskole,
00:31:12 - 00:31:14  |    som hed Nisseløgård Efterskole.
00:31:14 - 00:31:16  |    Det var sådan en lille efterskole
00:31:16 - 00:31:18  |    med lidt under 100 elever.
00:31:18 - 00:31:20  |    Så det var sådan en meget lille trygt
00:31:20 - 00:31:22  |    miljø, der var der.
00:31:22 - 00:31:24  |    Og jeg synes, det var virkelig fedt
00:31:24 - 00:31:26  |    at gå på Nisseløgård faktisk.
00:31:26 - 00:31:28  |    Fordi man har haft sådan...
00:31:28 - 00:31:30  |    Man har haft de pauser, man har brug for,
00:31:30 - 00:31:32  |    men man havde også overskudt tænket ud
00:31:32 - 00:31:34  |    at være sammen med folk, for der var så lidt mennesker.
00:31:34 - 00:31:36  |    Så sådan der...
00:31:36 - 00:31:38  |    Så det var bare på en anden måde hyggeligt
00:31:38 - 00:31:40  |    end det at gå på en stor efterskole, synes jeg.
00:31:40 - 00:31:44  |    Det var lidt mere tæt sammenhold omkring det.
00:31:44 - 00:31:46  |    Man lærte hurtigt folk at kende
00:31:46 - 00:31:48  |    og vidste, hvad folk hed.
00:31:48 - 00:31:50  |    For der var jo ikke så meget at holde styr på.
00:31:50 - 00:31:52  |    Der var ikke så mange mennesker.
00:31:52 - 00:31:54  |    Så man fik også hurtigt en idé om folk.
00:31:54 - 00:31:56  |    Det var meget rart.
00:31:56 - 00:32:00  |    Da du startede der, har du så glemt alt om sagen, eller hvordan?
00:32:00 - 00:32:02  |    Jeg tror, da jeg startede Nisseløgård,
00:32:02 - 00:32:04  |    lærte jeg rigtig meget retssagen bag mig.
00:32:04 - 00:32:06  |    Kan du sige, at den startede på efterskole?
00:32:06 - 00:32:07  |    Nå, ja.
00:32:07 - 00:32:09  |    Det er bare fordi, jeg tror, navnet er der ikke så mange, der kender.
00:32:09 - 00:32:11  |    Okay. Da jeg startede på efterskole,
00:32:11 - 00:32:13  |    lærte jeg rigtig meget retssagen bag mig.
00:32:13 - 00:32:15  |    Jeg tænkte ikke så meget over den.
00:32:15 - 00:32:17  |    For den lå ikke lige sådan...
00:32:17 - 00:32:20  |    til højrebenet for mig, hvis man kan sige sådan.
00:32:20 - 00:32:22  |    Jeg var lidt på fyn, og den var lidt derhjemme.
00:32:22 - 00:32:27  |    Jeg kom kun til at tænke på, at vi skulle...
00:32:27 - 00:32:31  |    at vi fik af videre, vi havde fået en ny retssagstid eller et eller andet.
00:32:31 - 00:32:33  |    Det var nok mere der, den kom i hovedet på mig,
00:32:33 - 00:32:35  |    ellers tænkte jeg ikke så meget over det.
00:32:36 - 00:32:39  |    Så tiden gik med det, du var på efterskole?
00:32:39 - 00:32:41  |    Hvad gik tid med over den der periode?
00:32:43 - 00:32:47  |    Jeg føler, at tiden gik rigtig meget på efterskole med...
00:32:47 - 00:32:51  |    at være sammen med folk og være der.
00:32:52 - 00:32:54  |    Jeg var der rigtig mange weekender,
00:32:54 - 00:32:58  |    faktisk mit første år på efterskole.
00:32:58 - 00:33:00  |    Jeg følte, at jeg var hjemme.
00:33:00 - 00:33:02  |    Men jeg følte ikke, at jeg var lige så meget hjemme,
00:33:02 - 00:33:05  |    som jeg kan finde på at være nu, faktisk.
00:33:06 - 00:33:08  |    Og hvordan havde benet det, da du blev der?
00:33:09 - 00:33:14  |    Mit ben, der gik der, det havde det meget.
00:33:14 - 00:33:15  |    Det havde det okay.
00:33:15 - 00:33:19  |    Jeg kunne mærke mere til det der, end jeg gør nu,
00:33:19 - 00:33:23  |    men det er også klart, fordi det er jo lidt nærmere at tage der på.
00:33:24 - 00:33:28  |    Men det var ikke fordi, at jeg hele tiden blev forstyrret af det.
00:33:29 - 00:33:32  |    Jeg kan huske, at nogle gange i et drittestime eller sådan noget,
00:33:32 - 00:33:34  |    kunne jeg godt være lidt mere beskyttet som overfor det.
00:33:34 - 00:33:37  |    Jeg kunne også godt mærke det lidt ofte, når jeg løb måske eller et eller andet.
00:33:38 - 00:33:42  |    Men det var ikke fordi, jeg ikke deltog på grund af benet.
00:33:42 - 00:33:45  |    Det gav jeg ikke sådan at stoppe mig.
00:33:46 - 00:33:48  |    Så skal I så i landsretten.
00:33:48 - 00:33:53  |    Det sidder helt fremme i maj 2021.
00:33:54 - 00:33:57  |    Og er det noget med, at du kommer fra Fyn og tager over til Gøbenhavn?
00:33:58 - 00:33:59  |    For at være med.
00:33:59 - 00:34:02  |    Prøv at beskrive den dag, hvor du henter med skade.
00:34:05 - 00:34:09  |    Jeg kommer og bliver hentet ved...
00:34:10 - 00:34:11  |    Nej, på løn, hvad?
00:34:11 - 00:34:15  |    Jeg vil bare sige, at du tager fra efterskolen på Fyn til Gøbenhavn,
00:34:15 - 00:34:17  |    for at komme ind til landsretten.
00:34:18 - 00:34:23  |    Jeg tager fra efterskolen hen til Roskilde,
00:34:23 - 00:34:25  |    for at komme til landsretten.
00:34:26 - 00:34:28  |    I forhold til at skulle...
00:34:28 - 00:34:32  |    Eller lige der forskellige ting, hvor de så ender med at blive aflyst.
00:34:33 - 00:34:35  |    Lad os lige vente, vi skal komme til det aflysning.
00:34:35 - 00:34:37  |    Men bare sige, at du tager til Gøbenhavn, for det er jo inde i Gøbenhavn,
00:34:37 - 00:34:39  |    den lærer da godt, at det er lige af Roskilde, du har taget ind.
00:34:39 - 00:34:42  |    Men hvad der sker på dagen? Du er på efterskolen, og hvad skal du så?
00:34:44 - 00:34:51  |    Jeg er på efterskolen, og så skal jeg afsted hen mod Gøbenhavn,
00:34:51 - 00:34:53  |    og det er meget som det plejer at følge.
00:34:54 - 00:34:58  |    Jeg tager jo op det der tog, hvor jeg så kommer derind.
00:34:58 - 00:34:59  |    Og hvad skal du?
00:34:59 - 00:35:01  |    Jeg skal til landsretten.
00:35:01 - 00:35:07  |    Og hvad har du forventninger til landsretten?
00:35:07 - 00:35:09  |    Hvad tror du, der skal ske?
00:35:09 - 00:35:14  |    Jeg håber på, at den vil blive stoppet der,
00:35:14 - 00:35:18  |    at de finder en dom, at damen er med op.
00:35:18 - 00:35:21  |    Så vil jeg tænke, at nu er det lidt mere at se i seriøs.
00:35:21 - 00:35:24  |    Så jeg kan være med at tænke så sammen der,
00:35:24 - 00:35:26  |    men jeg har ikke nogen forhåbning om det i forhold til,
00:35:26 - 00:35:28  |    at man ikke må dukke op til nogen andet,
00:35:28 - 00:35:31  |    så jeg sætter aldrig mine forhåbninger højere for det,
00:35:31 - 00:35:34  |    efter hun ikke dukket op de første to gange.
