00:00:00 - 00:00:08  |    Jeg hedder Simon Kvam, jeg er 48 år og betegner mig selv som musiker og entertainer.
00:42:09 - 00:42:15  |    Kan du mærke, om det senere hen i dit liv, har været en fordel for dig?
00:42:15 - 00:42:41  |    Jeg tror helt klart, det har været en fordel for mig at have opfattet mig selv som begge dele, fordi det giver jo en eller anden form for det første en forståelse. Hvordan er det at være en, der arbejder på et bilværksted i Silkeborg, fordi det har jeg selv gjort som fejlring.
00:42:41 - 00:43:06  |    Hvordan er det? Hvad er hverdagen der? Og samtidig, hvordan er det at være til et magne og opera i Musikhuset i Aarhus? Det har jeg også været. Og begge dele har noget fantastisk og noget røvsygt over sig.
00:43:06 - 00:43:15  |    Og så springer vi lidt i tid. Vil du prøve at fortælle, hvis du kan huske, hvilket år du starter på Journalisthøjskolen?
00:43:16 - 00:43:25  |    Ja, jeg starter på Journalisthøjskolen i års i 99.
00:43:25 - 00:43:41  |    Og har du mulighed for at sætte en scene for, at du har startet NetView på det her tidspunkt? Men jeg ved ikke, om det er her, at I har besluttet dit sidenprojekt?
00:43:41 - 00:43:59  |    Det er lige omkring samtidigt, ja. Og så ved jeg ikke, om I også arbejder anderledes i NetView, inden du har prøvet at gå efter et gennembrud, om I har en anderledes arbejdstillegang til det her. Men hvis du kan sætte en scene for, hvad sker der i dit liv, der du starter på Journalisthøjskolen?
00:43:59 - 00:44:18  |    Jeg starter på Journalisthøjskolen i års i 99, og i samme omgang siger jeg til de andre i NetView, at nu gider jeg altså ikke gå efter vokstjerne-drymmen.
00:44:18 - 00:44:32  |    Det kan jeg ikke, for nu skal jeg bruge noget tid på det andet. Så NetView får en anden form for fundament, og bliver mere hobbyfacert i den periode der.
00:44:32 - 00:44:58  |    Og jeg starter så op på Journalisthøjskolen, og tænker nu må jeg prøve at lave den her anden side ud, den her, der handler om at lave fjernsyn og underholdning, og gerne noget komik på en eller anden måde. Og så lægge den musikalske side af mig selv lidt til side.
00:44:58 - 00:45:04  |    Føler du det gjorde noget godt for NetView, at det blev mere hobbyfacert, og var der mindre pres på det?
00:45:05 - 00:45:26  |    For NetView var det jo paradoxalt nok det, der vil jeg mene før til vores genbrud. Det var, at i det øjeblik vi begyndte at slappe af, og ikke gå så hårdt efter genbruddet, men lave det musik, som vi selv følte var relevant, og ikke prøvede at regne den ud, hvad vi folk gerne havde.
00:45:26 - 00:45:34  |    Så lavede vi nogle sange, der blev til det album, der hed U.S.A.D.S.B., som lige pludselig blev vores genbrud.
00:45:35 - 00:45:49  |    Så det var jo den her underlige bevægelse af at slappe lidt mere af, ikke være så ivrig, der så gjorde, at der skete noget rigtigt i forhold til en anden, der hørte det.
00:45:49 - 00:46:01  |    Og det er fordi nu vil jeg gerne lidt have sådan en overgang til, vi laver de her anekdoter, som vi snakker om, om Panidagen af dem, som bliver animeret.
00:46:02 - 00:46:09  |    Og derfor, altså alle ved jo ikke om Panidagen, så kan du bruge at forklare det sådan en kort.
00:46:09 - 00:46:19  |    Heder det ikke også noget andet i dag? Jeg ved ikke, du har været til det sidste maven, hedder det ikke sådan noget i Panikdagen? Madsdag. Det hedder det ikke, der er i stedet af Panikdagen.
00:46:20 - 00:46:26  |    Det er sådan en geofisering, så man tror, at det ikke lyder frygteligt, men det er stadig frygteligt.
00:46:27 - 00:46:36  |    Så hvis du kort kan beskrive, hvad Panikdagen er for dem, som ikke er journalist.
00:46:36 - 00:46:51  |    Ja. Panikdag eller Madsdag, som man forsøger at bøde det lidt op med i dag, men som jo på ingen måde fratager dagen en total grundlæggende følelse af panik,
00:46:52 - 00:46:59  |    går ud på, at man som journalist, studerende, skal sikre sig en praktikplads.
00:46:59 - 00:47:15  |    Og der er så lavet det system, at samtlige danske medier, de kommer til Aarhus, til Journalistholdskolen, og så sætter de sig hver i et eller andet lokale,
00:47:16 - 00:47:22  |    og så er det ellers bare med hen.
00:47:22 - 00:47:33  |    Man har søgt 4-5 stykker, han har søgt på forhånd, og så kunne man ellers bare tænde sin telefon ved dagens begyndelse,
00:47:34 - 00:47:37  |    og håbe på, at nogen af dem ringede, og bad en om at komme til samtale.
00:47:37 - 00:47:51  |    Hvad jeg ikke helt havde gennemskuddet var jo, at alle mulige mennesker har jo før Panikdag været rundt og slik røv helt sindssygt på forskellige danske medier.
00:47:51 - 00:48:06  |    Altså sådan en helt voldsom kampagnestrategi, kørte da jo fra de mest kvikke, og dem der sad forst i klassen i min årgang,
00:48:07 - 00:48:13  |    var det jo sådan nogen som Lilian Gerhul, Freds, Christian Dein og sådan nogen, for du havde hængt dem helt ud.
00:48:13 - 00:48:24  |    De havde godt om brun tunge, da vi så rammer Panikdag, og var jo så bare sikrede en plads fra starten af dagen.
00:48:25 - 00:48:37  |    Og der var vi så nogen, der dybest set bare måske sad lidt for langt tilbage i klassen, og ikke havde forstået, hvad fanden er gamet her.
00:48:37 - 00:48:51  |    Og som så lander helt hårdt på maven uden en plads, uden en praktikplads ved dagens ende. En af dem var jeg.
00:48:51 - 00:49:06  |    Kan jeg måske, for der er helt her nogle gode ting i den gennemgang, men kan jeg få dig til at beskrive det mere i et minuttidsspoj, hvis det giver mening?
00:49:07 - 00:49:08  |    Så man får en fornemmelse af, at du er der.
00:49:09 - 00:49:10  |    Altså kommenter, hvad der sker for mig.
00:49:10 - 00:49:20  |    Måske vil du starte med at beskrive, hvordan du måske ikke forbereder dig til Panikdag, og hvilke samtaler du tager den til.
00:49:21 - 00:49:24  |    Jeg husker, du nævnte det i forhold til virksomhed med, at du måske bare...
00:49:25 - 00:49:26  |    Du prøver bare at tage den så detaljert, jeg overhovedet kan.
00:49:27 - 00:49:28  |    Ja, meget gerne.
00:49:28 - 00:49:54  |    Altså, så vidt jeg husker, så havde jeg jo på forhånd søgt, så vidt jeg husker, så de fire jeg havde søgt.
00:49:54 - 00:49:58  |    Man søgte i en nutid.
00:49:59 - 00:50:01  |    Skal jeg forklare igen, hvad Panikdag er eller hvad?
00:50:02 - 00:50:03  |    Det behøver du ikke.
00:50:04 - 00:50:07  |    Det er bare sådan at forklare de samtaler, du tager til.
00:50:08 - 00:50:13  |    Og også hvis du kan være sådan, at jeg står til Panikdag, og der er ikke nogen, der ringer til mig.
00:50:14 - 00:50:16  |    Og så skulle du på den der runde på, og det var bare på på.
00:50:17 - 00:50:19  |    Ja, jeg måske se, hvor godt jeg kan huske det.
00:50:20 - 00:50:22  |    Ja, det går også, hvis det ikke er fuldstændigt nutid.
00:50:22 - 00:50:28  |    Altså, jeg møder op til Panikdag med telefonen tæmt, ligesom alle andre.
00:50:29 - 00:50:35  |    Helt klart på, hvem af de fire, jeg har sendt en ansøgning til, ringer nu.
00:50:36 - 00:50:41  |    Fordi jeg synes selv, jeg er gået lidt ned.
00:50:42 - 00:50:49  |    Altså, jeg er selv gået lidt fra, kan jeg forstå, kommet meget af de her medier i møde ved at overhovedet søge dem.
00:50:49 - 00:50:51  |    TV2 Østsydland for eksempel, synes jeg på forhånd.
00:50:52 - 00:50:54  |    Sådan set, jeg gør en tjeneste ved at tilbyde mig til dem.
00:50:55 - 00:50:57  |    Det er underholdningsafdelingen, og der er noget af det hedder også.
00:50:58 - 00:51:00  |    Jeg tænkte også, kæmpe scoop for dem, hvis de får mig.
00:51:01 - 00:51:05  |    Det er U-Land, en af dem, jeg rigtig gerne vil have.
00:51:06 - 00:51:08  |    Altså, det er ungdomsafdelingen.
00:51:09 - 00:51:12  |    De kan da også kun rigtig gerne vil have mig, tænker jeg.
00:51:13 - 00:51:16  |    Og, hvad er den sidste?
00:51:16 - 00:51:21  |    Måske er det faktisk TV-visen, eller TV2-lighederne.
00:51:22 - 00:51:30  |    Som jeg også har en fornemmelse af, at jeg ville være rigtig glad, hvis jeg endte i deres stald.
00:51:31 - 00:51:34  |    Af hvilken år, så ved jeg ikke. Jeg ved ikke, hvorfor fanden jeg tænkte, at jeg skulle det.
00:51:35 - 00:51:38  |    Men jeg tror, på det tidspunkt var jeg ligesom, jeg var slet ikke...
00:51:38 - 00:51:45  |    Jeg var ikke tunet ind på, hverken det game, som Panic! da jeg var, eller hvad det egentlig er, jeg kommer med.
00:51:46 - 00:51:50  |    Jeg møder op med telefonen tændt. Den ringer ikke.
00:51:51 - 00:51:59  |    Den ringer ikke engang sådan en lille smule. Den ringer slet ikke.
00:52:00 - 00:52:06  |    Midt på dagen har den været helt stille, og jeg ser jo alle mulige...
00:52:06 - 00:52:11  |    Så kommer Christian Bein over og får en plads derovre. Huxibak. Sådan.
00:52:12 - 00:52:15  |    Så lader han underholdningsafdelingen, den jeg også har søgt.
00:52:16 - 00:52:19  |    Det kan jeg mærke. Det er lidt en modklude i hovedet på mig.
00:52:20 - 00:52:23  |    At lige præcis han lander den.
00:52:24 - 00:52:30  |    Og den ene efter den anden, står og åbner champagne. Ikke bare overført.
00:52:30 - 00:52:35  |    Bokstevligt talt. Der åbnes champagne rundt omkring på den her spole.
00:52:36 - 00:52:43  |    Mens jeg går rundt sammen med dem, som jeg slet ikke havde set mig i klub med.
00:52:44 - 00:52:48  |    Og kigger på min ikke-ringende telefon.
00:52:49 - 00:52:52  |    Og efterhånden går dagen så lang tid, at jeg kan se...
00:52:53 - 00:52:57  |    Nu er der så mange, der har fået en praktikplads rundt omkring. Der er jo ikke nogen tilbage nu.
00:52:57 - 00:52:59  |    Der kommer ikke til at være nogen, der ringer.
00:53:00 - 00:53:02  |    Så er det, at panikken sætter ind i mig.
00:53:03 - 00:53:05  |    Så meget, at jeg...
00:53:06 - 00:53:10  |    Der begynder man jo ofte det, der hedder gatecrash.
00:53:11 - 00:53:14  |    Altså simpelthen bare at banke døren ind til nogen, man ikke har søgt.
00:53:15 - 00:53:17  |    Og så gør sine hus og grønne og prøver at sige...
00:53:18 - 00:53:22  |    Hey, jeg kan nok ikke søge til jer, men hold kæft jeg vil gerne arbejde for jer.
00:53:23 - 00:53:24  |    Fuck mand. Jeg har altid drømt om det.
00:53:24 - 00:53:27  |    Jeg synes bare ikke det fedeste medier overhovedet.
00:53:30 - 00:53:32  |    Hvad siger I til det?
00:53:33 - 00:53:38  |    Og det fandt jeg lige pludselig mig selv i færd med.
00:53:39 - 00:53:41  |    Bl.a. ved Venstres Pressetjeneste.
00:53:42 - 00:53:45  |    Som dengang blev styret af Henrik Kvartrup.
00:53:46 - 00:53:49  |    Altså et absurd sted at banke døren ind.
00:53:49 - 00:53:57  |    For det første, at et politisk partikommunikationsafdeling aner ikke hvad jeg skulle lave der.
00:53:58 - 00:54:00  |    Eller hvorfor jeg skulle være kvalificeret.
00:54:01 - 00:54:05  |    Og jeg vidste godt, at det var mediernes Voldemort, der sad derinde.
00:54:06 - 00:54:08  |    Så jeg ved ikke hvorfor fanden jeg gjorde det.
00:54:09 - 00:54:11  |    Men i hvert fald så gatecrashede jeg og sad overfor Henrik Kvartrup.
00:54:12 - 00:54:14  |    Og han sagde, hvorfor vil du gerne på Christiansborg?
00:54:15 - 00:54:17  |    Og jeg tror faktisk ikke jeg kunne svare på det.
00:54:17 - 00:54:19  |    Altså hvorfor jeg gerne ville det.
00:54:20 - 00:54:24  |    Fordi jeg havde faktisk aldrig fornemmet i min krop, at jeg gerne ville på Christiansborg.
00:54:26 - 00:54:30  |    Og sådan forløb den dag med paniske handlinger til højre og venstre.
00:54:31 - 00:54:32  |    Dagen efter kan jeg huske, at jeg gik så meget panik.
00:54:33 - 00:54:35  |    Jeg fik min far til at køre mig til Holstebro, oppe til mit to midt vest.
00:54:36 - 00:54:38  |    For at få en samtale med dem.
00:54:39 - 00:54:41  |    Hvor der vidst stadigvæk var en åben plads.
00:54:41 - 00:54:49  |    Og jeg sidder igen overfor en skeptisk regional tv-stationsdirektør.
00:54:50 - 00:54:53  |    Som siger, hvorfor er du her egentlig?
00:54:59 - 00:55:08  |    Og jeg tænker, jeg vil bare rigtig gerne lave regional tv her fra Holstebro.
00:55:08 - 00:55:10  |    Det kunne jeg bare rigtig godt tænke mig.
00:55:11 - 00:55:13  |    Hvis det kunne lade sig være.
00:55:14 - 00:55:21  |    Og det var jo selvfølgelig så syvvagt og panikagtigt det hele.
00:55:22 - 00:55:23  |    At jeg ikke fik den plads heller ikke.
00:55:24 - 00:55:25  |    Så det jeg ender med.
00:55:26 - 00:55:28  |    Hvilket jeg tror jeg ikke plejser dagen efter igen.
00:55:29 - 00:55:31  |    Det er at få den plads engværende.
00:55:31 - 00:55:39  |    Den plads hos det produktionsunderskab, der ikke engang kunne være der.
00:55:40 - 00:55:42  |    Hverken på dagen eller dagen efter.
00:55:43 - 00:55:44  |    Men to-tre dage efter.
00:55:45 - 00:55:46  |    Jeg tror bare der var et opslag.
00:55:47 - 00:55:49  |    Jeg tror ikke engang der var nogen repræsentanter for den medie.
00:55:50 - 00:55:51  |    Metronom Productions.
00:55:52 - 00:55:53  |    Et tv-produktionsunderskab.
00:55:54 - 00:55:56  |    Hvor der bare var et skriftligt opslag der hed.
00:55:57 - 00:55:59  |    Vil du være den nye praktikant på Big Brother?
00:55:59 - 00:56:00  |    Ja.
00:56:03 - 00:56:05  |    Og det ringede jeg så og sagde.
00:56:06 - 00:56:07  |    Det ville jeg faktisk rigtig gerne.
00:56:08 - 00:56:10  |    Det havde jeg faktisk tænkt på jeg rigtig godt kunne tænke mig.
00:56:11 - 00:56:12  |    Hvis det var okay.
00:56:13 - 00:56:14  |    At jeg bliver den.
00:56:15 - 00:56:21  |    Og mine hærdige indsats.
00:56:22 - 00:56:25  |    Førte til at jeg landede den praktikplads.
00:56:25 - 00:56:28  |    Som journalistpraktikant på Big Brother.
00:56:29 - 00:56:30  |    Og der skal man forstå.
00:56:31 - 00:56:33  |    Vi lever i en tid lige omkring år tusindskiftet.
00:56:34 - 00:56:38  |    Hvor reality tv er the lowest.
00:56:39 - 00:56:41  |    Altså for journaliststudiet i hvert fald.
00:56:42 - 00:56:44  |    Det var fuldstændig.
00:56:45 - 00:56:46  |    Jamen jeg ved ikke.
00:56:48 - 00:56:51  |    Det er svar op til i musik og verden at spille på en færge.
00:56:51 - 00:56:57  |    Det er næsten ikke journalistik.
00:57:02 - 00:57:04  |    Men det er i hvert fald det at jeg lander en plads.
00:57:05 - 00:57:07  |    Og møder op.
00:57:08 - 00:57:10  |    Det er på Big Brother sæson 1.
00:57:11 - 00:57:14  |    Hvor Dildo Jail og alle de andre tjekker ind.
00:57:15 - 00:57:16  |    Jeg er nødt til at fortælle det færdigt.
00:57:17 - 00:57:19  |    Jeg er træls at tage det hele igen.
00:57:19 - 00:57:20  |    Det behøver vi ikke.
00:57:21 - 00:57:22  |    Jeg har måske nogle opfyldelsespørgsmål.
00:57:23 - 00:57:25  |    Ellers føler jeg mig faktisk ligesom et ret samarbejde med dig.
00:57:26 - 00:57:27  |    Lidt sammen med at blive.
00:57:42 - 00:57:44  |    Det var der jo også der. Det var så bare ikke formalisert.
00:57:44 - 00:57:48  |    Det var bare under retteren.
00:57:49 - 00:57:55  |    Jeg har altid tænkt på at jeg gerne vil arbejde på det her blæde der hedder Dansker i Spanien.
00:57:56 - 00:57:57  |    Det er bare sygt fedt.
00:57:58 - 00:58:00  |    Har du været i Spanien? Nej.
00:58:01 - 00:58:02  |    Nej, men jeg har været i Danmark.
00:58:03 - 00:58:04  |    Altså jeg kender danskere.
00:58:05 - 00:58:06  |    Og jeg har spist tapas rigtig mange gange.
00:58:07 - 00:58:09  |    Kæft jeg er bare vild med Spanien.
00:58:09 - 00:58:18  |    Kan du huske hvad du siger til de her samtaler du er til?
00:58:19 - 00:58:22  |    Kører vi nu eller?
00:58:23 - 00:58:29  |    Jeg kan ikke rigtig huske alle detaljer i forhold til hvad jeg siger til de her samtaler.
00:58:30 - 00:58:33  |    Men jeg kan huske jeg slår ret meget på at jeg jo også er musiker.
00:58:33 - 00:58:40  |    Jeg er under den opfattelse at det er et kæmpe plus for dem.
00:58:41 - 00:58:43  |    At jeg også beskæftiger mig med musik.
00:58:44 - 00:58:54  |    Men jeg kan jo godt når jeg lige tænker tilbage på det nu huske nogle lidt sænkede øjenbryn.
00:58:55 - 00:58:57  |    Bekymrede øjenbryn når den oplysning falder.
00:58:57 - 00:59:05  |    Og det kan jeg jo se nu. Det er fordi de så tænker så skal han jo hele tiden ud at spille.
00:59:06 - 00:59:09  |    Hvad skal vi bruge det til?
00:59:10 - 00:59:13  |    Men jeg tænker det er fedt at få sådan en der også kan det.
00:59:13 - 00:59:25  |    Så tænk på det du sagde da vi snakkede sammen. Det var ligesom at du ikke har været en type der har forberedt dig særlig meget.
00:59:26 - 00:59:28  |    Så tænkte jeg du var ret god til bare at kunne vinde det.
00:59:29 - 00:59:32  |    Men det har virket som om det var første gang du har oplevet at det kan du ikke altid.
00:59:32 - 00:59:43  |    Ja. Der er ikke nogen tvivl om at den oplevelse var et vendepunkt i forhold til ikke at tænke at man lige kan vinde den.
00:59:44 - 00:59:53  |    Altså fordi jeg er nok en som har klaret mig igennem min skoletid og min gymnasietid ved at vinde den.
00:59:53 - 01:00:01  |    Som rimelig meget. Altså ikke fordi jeg har dognet den jeg har lavet.
