00:00:00 - 00:00:00  |    Pfff
00:26:54 - 00:27:00  |    Altså meget voldsomt, ikke bare sådan noget, men altså...
00:27:00 - 00:27:04  |    Altså i bund og grund tænker jeg, jeg ved det jo ikke, fordi jeg var der ikke
00:27:04 - 00:27:09  |    Og så alligevel var jeg der, men jeg har ikke været publikum, men folk har jo ikke kunnet fokusere på noget som helst andet
00:27:09 - 00:27:19  |    End at, okay, er han Parkinson så meget ung, eller fuck hvor er han nervøs
00:27:19 - 00:27:23  |    Og der tænker jeg også, at det kunne godt være en forklaring på, hvorfor det ikke ringede
00:27:23 - 00:27:29  |    Jeg siger ikke, at det var sjovt, men jeg tror bare, der var så meget fra publikum og afkode
00:27:29 - 00:27:35  |    af det her stykke S-beløv, der står deroppe og ryster
00:27:35 - 00:27:43  |    Jeg tænker egentlig, at publikum måske næsten har haft ondt af mig
00:27:43 - 00:27:51  |    Og jeg tror, at der er noget med noget behovspyramid her, at du kan først grine af folk, når du føler, at de også har det godt, tror jeg
00:27:51 - 00:27:55  |    Men mindre, du er et røghul, ikke? Og jeg tænker ikke på publikum som røghul
00:27:55 - 00:28:12  |    Så jeg tror simpelthen, at min første 45 minutter ting går med, at publikum lige skal afkode, hvem er det
00:28:12 - 00:28:21  |    Og hvad i alverden er han for en, og hvis han har det så dårligt med at være der, hvorfor har han gået op på den scene
00:28:21 - 00:28:26  |    Og hvordan går det i din næste job?
00:28:26 - 00:28:38  |    Jeg lægger så visen ret hurtigt, og så går jeg i gang med at snakke om det og sidde ved kassen
00:28:38 - 00:28:52  |    Og det går heller ikke særlig godt, fordi folk forstår ikke min ankomstvinkel på det
00:28:52 - 00:29:08  |    Fordi jeg ser jo situationen, hvor jeg sidder bag kassen, men det er jo et få tælle af mennesker, der sidder bag kassen, og jeg synes faktisk, at det var ret sjovt
00:29:08 - 00:29:25  |    Jeg var lidt forvid over, at de ikke synes, det var sjovt, og her går det op for mig, at fem minutter er lang tid, og her går det op for mig, at det er sgu ikke bare lige til
00:29:25 - 00:29:35  |    Så går jeg i gang med min sidste bid, som er de her bilbriander, som har travlt med at komme over og krydse som den første
00:29:35 - 00:29:49  |    Og der er der sådan en eller anden form for en instant genkendelse hos publikum, fordi de kan realitere til det, jeg snakker om, fordi de også selv oplevede de her mennesker eller de her typer
00:29:49 - 00:30:04  |    Og den bid går rigtig godt, og jeg får et godt grin, jeg vil ikke sige et stort grin, men jeg får et okay grin, og jeg får med min sidste bid om bilbriander en succesoplevelse
00:30:04 - 00:30:21  |    Og så kan jeg huske, at han griner af mig, fordi da jeg går af, siger jeg tak, jeg hedder, tak siger jeg så, og hvorefter han er ved at flere grine, fordi jeg et eller andet sted har glemt, hvad jeg hedder
00:30:21 - 00:30:45  |    Og så går jeg ned, og så står der en kold øl til mig, og jeg står bare og kigger på den øl der, og har glemt alt det dårlige, der skes, til at starte med og i midten
00:30:45 - 00:30:57  |    Og han har fuldstændig kæmpe, kæmpe optur over at have fået folk til at grine
00:30:57 - 00:31:15  |    Og jeg tænker stadigvæk over i dag, at hvis jeg ikke havde fået de sidste grine, om det så havde været det, det tror jeg ikke, jeg tror stadigvæk der var en ild, så jeg tror jeg gav det et par chancer mere
00:31:15 - 00:31:35  |    Men det var et vanvittigt routetur, at starte med at crash and burn, og bare dø på sin røv, og så bare remotely komme ud med en lille sejr baglom, og sådan en kold øl, så det var fantastisk
00:31:35 - 00:31:45  |    Jeg har lige nogle opfyldende spørgsmål til det. Det var ret fedt, at du sagde det der med, at hvis ikke det var gået godt til sidst, så ved du ikke om det var fortælle
00:31:45 - 00:31:51  |    Kan du i stedet for at sige det, så ved jeg ikke om jeg havde gået op på scenen igen eller sådan?
00:31:51 - 00:32:11  |    Jeg tror det var bedre med det her
00:32:11 - 00:32:13  |    Har du boet i USA Debbie?
00:32:13 - 00:32:15  |    Nej jeg ved ikke, jeg har fået en dårlig mand
00:32:15 - 00:32:25  |    Har I lagt mærke til, hvor meget hun lige, men ikke sådan noget danglish, gerne med sådan en rigtig amerikaner sang, så der sidder lige i skab
00:32:25 - 00:32:47  |    Det var en kollega, som hjælper med teknik, og den er fra Canada, så den har gået i rundhjul, men når vi tager hos en grundsager, så tager han den lige af amerikaner
00:32:47 - 00:32:57  |    Prøv at ud og spise burger med Thomas Hartmann, så får I den samme oplevelse
00:32:57 - 00:33:03  |    Og så vil jeg gerne have en coke, og så vil jeg gerne have en hamburger, og så vil jeg gerne have...
00:33:03 - 00:33:11  |    Og det er lige det, jeg sagde der med, det kommer med
00:33:11 - 00:33:19  |    Var du gået op på scenen igen, hvis det var gået godt til sidst?
00:33:19 - 00:33:29  |    Jeg er sindssygt lykkelig for, at jeg gik ud med en lille succesoplevelse, for ellers ved jeg sgu ikke om jeg må komme op på den scene igen
00:33:29 - 00:33:45  |    Så det er jeg sindssygt taknemmelig for, og jeg er så glad, fordi det var starten på en god spiral, fordi det der så ikke virkede med kassedamen virkede så næste gang
00:33:45 - 00:33:59  |    Fordi jeg brugte tænke så meget på at efterrationalisere, men det er sjovt, hvorfor griner folk ikke? Så skiftede jeg så min stand-up fra at sidde bag kassen til at være en, der står bag ved den gamle dame
00:33:59 - 00:34:11  |    Og det gav så en eller anden form for en genkendelse hos publikum, så lige pludselig fungerede den bid også godt, og så tænkte jeg, at det her, det kan jeg sgu godt
00:34:11 - 00:34:21  |    Skide godt. Vil du fortælle, jeg tror ikke, at du lige fik fortalt før, hvad det var, du havde lagt mærke til i Netto, som bundkassekassefører?
00:34:21 - 00:34:30  |    Ja, det er tid eller nutid, så godt siger jeg
00:34:30 - 00:34:33  |    Jeg arbejder også som Netto-medarbejder, vil du mærke det?
00:34:33 - 00:34:42  |    Ja, jeg sidder bag kassen som Netto-arbejder på det tidspunkt, kassemedarbejder, og der kommer man jo i kontakt med alle mennesker på den anden
00:34:42 - 00:34:58  |    Men især en bestemt gruppe af mennesker lægger jeg mærke til, det er ældre damer, som handler ind om eftermiddagen, hvor alle andre lige har fået fri fra arbejde efter de har hentet deres børn
00:34:58 - 00:35:04  |    Hvorfor handler det ikke om formiddagen, hvor I har tiden, men andre ikke har tiden
00:35:04 - 00:35:16  |    Så lod jeg mærke til, at de havde en eller anden idé om, at Netto stadig var en form for Irma, hvor der bare skulle være delegatesser her og der alle vejen
00:35:16 - 00:35:30  |    Og så lod jeg mærke til, at ældre damer, efter at de har fået bibet deres varer, bliver forvidet over, at de simpelthen skal betale
00:35:30 - 00:35:40  |    Så efter at man har sagt, at det bliver 79,5, så er det så, at de tager deres taske op og går i gang med at løde efter pungen
00:35:40 - 00:35:48  |    Og gamle damer i Netto, i hvert fald selvfølgelig på det tidspunkt klart, da sådan er der jo ikke mere
00:35:48 - 00:35:55  |    Men udover, at de var gamle damer, så var det også tidsrøver, de stoppede alt
00:35:55 - 00:36:06  |    Nu er jeg jo selv ved at være et ældre menneske, så nu er det mig, der hænger i bremsen, men det var bare den observation, jeg havde gjort, mens jeg sad bag kassen
00:36:06 - 00:36:20  |    Og hvorfor er det så, at du skal fortælle det sådan, at du har haft showet, og så fortælle, at jeg går hjem og prøver at analysere, hvorfor nogen job fungerer
00:36:20 - 00:36:27  |    Hvorfor nogen ikke gjorde, og finder frem til, at det forsnæver det der med at sidde bag kassen, så jeg skal være bag den, der står i køen
00:36:27 - 00:36:51  |    Ja, efter jeg er optrodt første gang, så får jeg nogle øl, og bliver også lidt fuld, men går derfra, lykkelig, superlykkelig på en eller anden virkelig...
00:36:51 - 00:37:01  |    Ja, jeg var bare sgu lykkelig, og bor på det tidspunkt ude på Kristianshavn i et kollektiv, og jeg går hen over Langebro
00:37:01 - 00:37:29  |    Jeg kan bare huske, at mens jeg går der, så har jeg flashbacks til hele mine optræden, jeg går bare sådan og efterrationaliserer, og tænker, hvorfor virkede det med bilbrierne, og hvorfor virkede det med de gamle damer ikke
00:37:29 - 00:37:46  |    Og så tror jeg, den der evalueringskåltur henover Langebro, der tror jeg bare, at jeg på en eller anden måde får desikteret det, der er indgangsvillen på de to ting, altså forskellen
00:37:46 - 00:38:04  |    Og det er, at jeg med bilbrierne sætter mig i alle andre steder, hvorimod at jeg i de gamle damers indkøbsadfærd har sat mig bag kassen, og der er ikke særlig mange mennesker, der sidder bag kassen i Netto
00:38:04 - 00:38:26  |    Men alle har prøvet at stå bag en ældre dame i Netto, så jeg tror, at jeg, eller ikke tror, det var jo det jeg gjorde, at næste gang jeg skulle optræde, så valgte jeg at fortælle min historie som en, der står bag en gammel dame i køen i Netto
00:38:26 - 00:38:38  |    I stedet for at være en, der sidder bag kassen i Netto, og det var vel det, der ændrede det hele, fordi i bundrunden sagde jeg det samme
00:38:38 - 00:38:57  |    Kan du høre min mæve? Sorry
00:38:57 - 00:39:09  |    Jeg vil fortælle, hvordan regeringen kunne komme på din Netto-joke, efter du havde modificeret den
00:39:09 - 00:39:34  |    Da jeg så ændrede min observation fra at sidde bag kassen til at stå bag en gammel dame i Netto, så virkede den, fordi der var en anden form for genkendelse, og på en eller anden måde så gør jeg også irritationen anmeldegyddig for alle
00:39:34 - 00:39:44  |    I stedet for bare det at sidde bag kassen, men bare være den, der er nødt til at stå og vente på andre i en kø, hvilket jo er meget menneskeligt
00:39:44 - 00:40:04  |    Vi springer en lille smule tilbage til Falster igen, og du har måske svaret på nogle af tingene før, men jeg vil godt tænke op på det som en lille smule mere rent, så kan du måske fortælle, hvad du ligesom gik og drømte om, da du bare var en ung fyr på Falster
00:40:04 - 00:40:33  |    Det er jo ikke et groundbreaking news, det er jo ikke det, du spørger mig om
00:40:33 - 00:40:43  |    Jeg har svaret på det her før, det er bare, at du siger, at han svaret det samme
00:40:43 - 00:41:07  |    Det er så vildt bare lige
00:41:07 - 00:41:25  |    Da jeg bor på Falster, der har jeg som helt bedtet dreng, der drømmer jeg mest om at blive falgredd eller brandmand, for det er bare enormt spændende
00:41:25 - 00:41:41  |    Det er ret fedt at være med til at køre majtærske, men det kan man ikke leve af hele året
00:41:41 - 00:41:56  |    Jeg er lidt ældre, og så er det så, at jeg stiller kendskab med komik igennem tysk fjernsyn
00:41:56 - 00:42:11  |    Der tænkte jeg, at det er ting, hvis man kunne leve af det, at få andre folk til at grine og være klon og lave gager og løger
00:42:11 - 00:42:17  |    Der var allerede en form for ubevisst forståelse hos mig om, at det kan man jo ikke
00:42:17 - 00:42:29  |    Det var ikke noget, jeg sagde højt, men det var det, jeg drømte om, men jeg sagde det bare ikke højt
00:42:29 - 00:42:38  |    Der var de plausible mulige drømme, og så var der de umulige drømme
00:42:38 - 00:42:48  |    Kunne du godt få folk til at grine, eller var du god til at indtage scenen eller ud?
00:42:48 - 00:42:56  |    Havde du noget, der gjorde det?
00:42:56 - 00:43:07  |    Grunden til, at jeg ikke sagde højt, at jeg havde lyst til at være skuespiller, var, at der ikke var noget menneskeligt forlæg for det
00:43:07 - 00:43:15  |    Der var ikke igen nogen af mine forældre, der var i den branche, og jeg kendte heller ikke nogen, der var i den branche
00:43:15 - 00:43:23  |    Jeg kan huske en gang, vi havde en skolekomedie, hvor vi skulle opføre en...
00:43:23 - 00:43:26  |    Ja, det var en anden tid...
00:43:26 - 00:43:36  |    Vi var hotten totter, og blev blackfacet hele klassen og stod i basgørter
00:43:36 - 00:43:39  |    I kid you not
00:43:39 - 00:43:46  |    Og der skulle vi synge en sang, og der tror jeg, jeg lavede lidt ekstra sjov
00:43:46 - 00:43:54  |    Og da kan jeg huske, at efter skoleforstillingen sagde min mor på vej hjem i bilen, at jeg skulle lave af at skabe mig sådan
00:43:54 - 00:44:01  |    Og det, tror jeg, lavede lige lov på den første begejstning omkring det at blive skuespiller
00:44:01 - 00:44:06  |    Så jeg tror egentlig, at den oplevelse gjorde, at jeg pakkede det væk i rigtig lang tid
00:44:06 - 00:44:11  |    Så der var overhovedet ikke noget, der lå i kortene, at jeg skulle inde her, hvor jeg er nu
00:44:11 - 00:44:21  |    Og gjorde du så noget, for at blive skuespiller efterfølgende på det ældre?
00:44:21 - 00:44:33  |    Efter jeg er optrot som hotten tott i folkeskolen, der ligger jeg ligesom lov på mine drømme om at blive noget, der er lidt alternativt
00:44:33 - 00:44:40  |    Så jeg følger sådan lidt mere en slanvej og tager teknisk skole
00:44:40 - 00:44:49  |    Og skal så på Maskillien i Næstved, den store by nord for Nykøben Falster
00:44:49 - 00:44:56  |    Og jeg kommer til Næstved, og der møder jeg hiphopgruppen Hvid Chocolat
00:44:56 - 00:45:05  |    Som er tre gutter, som godt nok går på gymnasiet, men de brænder for at lave musik
00:45:05 - 00:45:11  |    De brænder for at lave hiphopmusik
00:45:11 - 00:45:24  |    Og de er på en eller anden måde en form for katalysator for mig, for de er i gang med gymnasiet, men de har én plan, og det er musik
00:45:24 - 00:45:27  |    Der er ikke nogen plan B
00:45:27 - 00:45:34  |    Og de bruger i bund og grund der er CSU til at finansiere, at de kan arbejde med musik
00:45:34 - 00:45:49  |    Og det er dybt inspirerende for mig, at de tør sige højt, hvad det er de vil, selvom det virker sindssygt fantastagtigt
00:45:49 - 00:45:59  |    Og det er sgu dem, der først sætter noget i gang, og så begynder jeg til noget amatør-tater i Næstved
00:45:59 - 00:46:08  |    Og der er også en fyr, der hedder Ronald Greene, som også går og drømmer lidt om at lave stand-up
00:46:08 - 00:46:15  |    Og vi får så sat en aften op, hvor vi laver stand-up, senere hen efter jeg er begyndt
00:46:15 - 00:46:35  |    Men det er der, hvor vi får det til at boble, de satser på musik, eller comedy eller noget, der ikke er maskiningeniør
00:46:35 - 00:46:50  |    Og jeg tror ikke, at I kommer til at skubere med akutmaterialen, men vi springer tilbage til cell-dins
00:46:50 - 00:47:00  |    Og det her, efter du har optret første gang, og begynder at komme meget på dins og det miljø du er i
00:47:00 - 00:47:09  |    Du prøver at beskrive det kreative komikermiljø, og hvem er det nu, som er sammen med?
00:47:09 - 00:47:24  |    Det kreative komikermiljø på dins, det er præget af sindssygt meget sammenhold og konkurrence
00:47:24 - 00:47:34  |    Underligt mærkebart docks, men det var en nystartet kunstform, hvor man gerne ville frem
00:47:34 - 00:47:39  |    På den måde var der runde sag på alle buerne, men samtidig synes jeg også, at vi var meget kollegaer
00:47:39 - 00:47:45  |    Vi hjælp hinanden med, hvis der var en joke, man ikke kunne få til at fungere
00:47:45 - 00:48:05  |    Jeg synes også, at miljøet på dins blandt komikerne var et sindssygt stærkt venskab, men også stærkt konkurrencepræg
00:48:05 - 00:48:16  |    Vi var kollegaer og venner for at stå på den måde, at det var en nystartet kunstform, som ikke var specielt akcepteret
00:48:16 - 00:48:23  |    Vi var peger inden for kunstner og scenekunsten
00:48:23 - 00:48:31  |    Instruktører havde os, skuespillere havde os, Danmarks Radio havde os
00:48:31 - 00:48:41  |    Men vi var ikke fine nok, og det gjorde ligesom, at der var en fælles omkring
00:48:41 - 00:48:47  |    Vi skal fandme nok vise at we don't give a fuck, nu kommer vi
00:48:47 - 00:49:01  |    Og da der så begynder at komme hul igennem, så begynder der selvfølgelig også at være noget i det
00:49:01 - 00:49:09  |    Der begynder der selvfølgelig at være en eller anden form for intern konkurrence, fordi man vil gerne være dem, der blomster op igennem mulen
00:49:09 - 00:49:13  |    Som kunstner
00:49:13 - 00:49:25  |    Der begynder det måske at være lidt mere besværligt fra, at vi starter, til at det begynder at eksplodere
00:49:25 - 00:49:30  |    Og man på et tidspunkt skal bruge stand-up-komikere her og der alle vejen
00:49:30 - 00:49:38  |    Så der kommer helt klart en eller anden konkurrence ind
00:49:38 - 00:49:52  |    Men jeg må bare sige, at Anders Maddelsen, vi er venner
00:49:52 - 00:50:02  |    Vi mødes, så vi kunne begge dele, vi kunne både konkurrere og være venner
00:50:02 - 00:50:10  |    Og var der nogen, du kom særlig godt ud af det? Var der nogen, du arbejdede godt sammen med?
00:50:10 - 00:50:22  |    Altså, jeg synes jo selv, at jeg arbejder rigtig godt sammen med en masse af dem, som var det vækstlag, som var lige under
00:50:22 - 00:50:26  |    Kasper Christensen, Jordtøj og Kindberg
00:50:26 - 00:50:30  |    Amin var til dels også ved at være skudt af sted på Stjernehjemmen
00:50:30 - 00:50:38  |    Men der var jo de der Maddelsen og Frank Varm og Jab Tengliff
00:50:38 - 00:50:44  |    Har jeg glemt nogen? Der har jeg sikkert nok nogle, der bliver pisse fornærmet
00:50:44 - 00:50:50  |    Men der var en masse, hvor vi lejede godt sammen
00:50:50 - 00:50:54  |    Men vi var også meget forskellige
00:50:54 - 00:51:02  |    Maddelsen og Frank Varm og jeg, vi ville gerne stand-up, hvor man kan sige, at det ville Sebastian Dorset også
00:51:02 - 00:51:04  |    Men han havde også samtidig en journalistdrøm
00:51:04 - 00:51:14  |    Mikael Wulf ville også gerne lave stand-up, men tror jeg også havde en eller anden drøm om noget mere historiefortælling
00:51:14 - 00:51:22  |    Så jeg tror, at vi var nogen, der var der primært for at lave stand-up, og så var der nogen, der brugte det som springbrett også
00:51:22 - 00:51:24  |    Og hvad fik du ud af at være?
00:51:24 - 00:51:26  |    Siger jeg ikke, det er jo min ord
00:51:26 - 00:51:28  |    Hvad vil du sige det igen, hvor jeg ikke er?
00:51:28 - 00:51:36  |    Det ved jeg jo ikke, det er jo noget motiv fortolker jeg jo, kan man sige, om hvad de har haft gang i
00:51:36 - 00:51:40  |    Klipp
00:51:40 - 00:51:48  |    Vil du fortælle, hvad du fik ud af at være i din hjøl?
00:51:48 - 00:51:53  |    Jeg fik sindssygt meget ud af at være på diens
00:51:53 - 00:52:05  |    Jeg tankede bare en lille my selvtillid, som jeg kunne bruge fremadrettet
00:52:05 - 00:52:09  |    Dermed ikke sagt, at jeg overhovedet havde fundet ud af, hvem jeg selv var
00:52:09 - 00:52:18  |    Jeg tror, at hvis man spoler tilbage igennem tiden, og hvis man har nogle tv-klipper, så vil man se en meget divergerende tøjstil
00:52:18 - 00:52:23  |    Som jo sikkert også et eller andet sted er et symbol på et ung menneske, som et eller andet sted afsøger
00:52:23 - 00:52:27  |    Hvad fanden, hvem er jeg, hvor skal jeg hen, og hvad er jeg
00:52:27 - 00:52:31  |    Men diens gjorde, at jeg fik tanket en lille smule selvtillid
00:52:31 - 00:52:41  |    Og så gjorde det, at jeg fik et liv i bund og grund, og et samfund
00:52:41 - 00:52:48  |    Vi var et lille community, så det var et lille kunstnedsamfund, som jeg kunne være i, som gjorde, at jeg ikke følte mig ensom
00:52:48 - 00:52:54  |    Så diens gjorde på mange måder alt for mig
00:52:54 - 00:53:03  |    Det blev ligesom herfra går min verden, og så videre ud i livet
00:53:03 - 00:53:08  |    Og nu var I jo rigtig mange unge boys
00:53:08 - 00:53:17  |    Kunne man godt mærke, i forhold til det standard, der blev lavet, at det var en masse unge fyre
00:53:17 - 00:53:32  |    Ja, man kan sige, Mette Furbenius, Dorte Rømer og Mette Lidsby, det var de eneste kvinder, der optog med standup
00:53:32 - 00:53:38  |    Så vi var jo ret mange puberatærer, studentikoser, fyre
00:53:38 - 00:53:48  |    Så der var selvfølgelig en lidt testosteronfyld verden i det, vi optrot med
00:53:48 - 00:53:58  |    Fordi det, der fylder i en, det er som regel det, der bobler over med ud af kæften på en
00:53:58 - 00:54:04  |    Det kan man ikke sige, jeg tager lige en gang til
00:54:04 - 00:54:14  |    Kønskoteringen på diens var rimelig skæv, men det var jo meget unge fyre
00:54:14 - 00:54:24  |    Og det gør jo nok, at det, der fyldte op i vores hoder, hvilket vi i et eller andet sted ikke helt var fuld udviklet
00:54:24 - 00:54:30  |    Var jo nok det modsatte køn og det at gå i byen
00:54:30 - 00:54:36  |    Så vores standup handlede jo nok rimelig meget om pek og patter, for at sige det på godt dansk
00:54:36 - 00:54:43  |    Og det kan man sige, er jo fint nok i starten
00:54:43 - 00:54:49  |    Jeg kan bare huske, som jeg blev ikke bedre og bedre
00:54:49 - 00:54:55  |    Som man rykket fra first spot til middle act, altså sweet spot, og så til headliner
00:54:55 - 00:55:03  |    Så gik det op for mig, at hvis to af mine kollegaer også havde snakket om pek og patter før jeg skulle på
00:55:03 - 00:55:05  |    Så der blev snakket rigtig meget om pek og patter
00:55:05 - 00:55:10  |    Og så kan man sige, så når man gik på sidst på aftenen, så var det emne ligesom uddebatteret
00:55:10 - 00:55:17  |    Så det går op for mig det, at hvis jeg skal differentiere mig i forhold til mine kollegaer
00:55:17 - 00:55:24  |    Så skal man måske kunne snakke om andet end bare lige pek og patter
00:55:24 - 00:55:33  |    Og vil du måske lige fortælle eller forklare det her med de der spots, så vi forstår hvordan den standup aften er bygget op?
00:55:33 - 00:55:41  |    Ja, en standup aften, en klassisk standup aften, den er bygget op med, at man har en vært
00:55:41 - 00:55:47  |    Som kort introducerer et æsel, som er en helt ny startekomikker
00:55:47 - 00:55:51  |    Så får den person fem minutter
00:55:51 - 00:55:56  |    Så efter at æslen har været på i fem minutter, så kommer det der hedder first act, altså den første komikker
00:55:56 - 00:56:00  |    Så er der som regel en pause, hvor spilstedet kan sætte nogle bajer
00:56:00 - 00:56:07  |    Så kommer middle act, som også bliver kaldt sweet spot, fordi det er det aller nemmeste optræde
00:56:07 - 00:56:11  |    Folk er kommet i gang, folk har grine, folk har fået en øl, de har fået det første grin
00:56:11 - 00:56:14  |    Så kommer du ind lige midt i, hvor der er aller nemmest
00:56:14 - 00:56:19  |    Så er der en pause igen, hvor man kan sætte endnu mere øl i baren
00:56:19 - 00:56:25  |    Og så kommer det der hedder headliner, og headliner det er det hårdeste du kan optræde sig om
00:56:25 - 00:56:28  |    Fordi der har folk allerede grine, de har fået en masse sjov
00:56:28 - 00:56:31  |    Måske er det også begyndt at blive lidt fuld, de er svæt ved at holde koncentrationen
00:56:31 - 00:56:35  |    Så der skal du som headliner være ekstra god
00:56:35 - 00:56:50  |    Kan du måske tage den lidt kortere?
00:56:50 - 00:56:54  |    Og hvis de første to har snakket om pick-up af dig, så er det rigtig svært at være den tredje
00:56:54 - 00:56:59  |    Så er det også lidt af det du gjorde før, bare så man lige forstår, at der er tre, der er optrede på natten
00:56:59 - 00:57:09  |    Ja, jeg ved ikke om jeg er enig med dig, men jeg er jo heller ikke rigtig tør
00:57:09 - 00:57:13  |    Nå jo
00:57:13 - 00:57:21  |    En stand-up aftenen er bygget op i tre akter
00:57:21 - 00:57:27  |    Der er first spot og middle act, sweet spot er også kaldet
00:57:27 - 00:57:32  |    Og så er der headliner
00:57:32 - 00:57:37  |    Det der gik op for mig, det var, at hvis middle act og first act, begge to havde snakket om pick-up og padder
00:57:37 - 00:57:41  |    Så var det emne uddebatteret, når jeg kom på som headliner
00:57:41 - 00:57:48  |    Headliner er det sværeste spot at have, fordi der er aftenen ved at blive afgørende
00:57:48 - 00:57:58  |    Og folk er måske også blevet lidt fulde
00:57:58 - 00:58:06  |    Super, det giver mig nemlig bare en kontakt med nogen segue over til at snakke om din stand-up
00:58:06 - 00:58:13  |    Jeg ved ikke om det her er en helt umulig spørgsmål, men kan du prøve at beskrive din egen stand-up?
00:58:13 - 00:58:18  |    Ja
00:58:18 - 00:58:28  |    Min egen stand-upstil er ved et eller andet sted, at jeg ikke har nogen stil
00:58:28 - 00:58:37  |    Forstået på den måde, at jeg i hvert fald i dag godt kan lave rants og være politisk
00:58:37 - 00:58:43  |    Men jeg kan også være totalt pjattet, plat, pick-up og padder
00:58:43 - 00:58:51  |    Jeg er sgu ret troløs som komiker
00:58:51 - 00:58:57  |    Whatever works, det lyder så negativt
00:58:57 - 00:59:02  |    Men når det er så sagt, så kan jeg også godt lide det med, at man hele tiden kan skifte form
00:59:02 - 00:59:07  |    At man er sådan en comedy-kammelion, hvor man kan tage det flere veje hen
00:59:07 - 00:59:12  |    I stedet for den komiker, der bare står helt stille foran mikrofonen
00:59:12 - 00:59:16  |    Og så bare står og liger noget politisk satir af
00:59:16 - 00:59:20  |    Der kan jeg godt lide det der med at være fri
00:59:20 - 00:59:26  |    Har der været nogen komiske identitetsudfordringer på vej?
00:59:26 - 00:59:33  |    Når man også skal finde ud af, hvem man selv er, får man forskellige ting af
00:59:33 - 00:59:41  |    Jeg har været forvirret igennem min karriere 1 milliard gange omkring, hvem jeg er som komiker
00:59:41 - 00:59:48  |    I starten er man et ungt menneske med et åbent sind, som bare er modtagelig over for impulser
00:59:48 - 00:59:57  |    Og jeg stod sindssygt meget stand-up fra udlandet på det tidspunkt, og blev meget betaget af forskellige komiker
